,3yo or older Source,Recent Source,"Type (Current Crisis, General)",Latitude,Longitude,Name,City,State,Country,Address,MachineMatchAddress,Phone,Email,Twitter,Website,Owner_Type,Owner_Contact,Sources,Notes,
Vera LOP Contractor but also represents unaccompanied minors,"2011-08-02 Behind the Walls of an Immigration Detention Center in Florence, Arizona",https://www.texastribune.org/2018/06/18/heres-list-organizations-are-mobilizing-help-separated-immigrant-child/?utm_campaign=trib-social-buttons&utm_source=twitter&utm_medium=social,Current Crisis,33.466172,-112.071344,The Florence Immigrant & Refugee Rights Project (FIRRP),Phoenix,Arizona,United States,"202 E McDowell Rd # 250, Phoenix, AZ 85004",,(520) 868-0191,firrp@firrp.org,https://twitter.com/FlorenceProject,https://firrp.org/,,,,"Serves Eloy Detention Center, Central Arizona Detention Facility, Florence Correctional Center, and Florence Service Processing Center",
,https://www.americanbar.org/content/dam/aba/administrative/immigration/ijp/ijp_fje_annual_report2011.authcheckdam.pdf,https://www.vera.org/projects/legal-orientation-program/legal-orientation-program-lop-facilities,"Current Crisis, General",,,ABA Immigration Justice Project of San Diego,San Diego,California,United States,,,(619) 255-8813,harper.otawka@abaijp.org,,https://www.americanbar.org/groups/public_services/immigration/projects_initiatives/immigration_justice_project_ijp_of_san_diego.html,,,,"Serves Otay Mesa Detention Center, San Diego  ",
,,Vera LOP Contractor,"Current Crisis, General",41.879201,-87.632432,National Immigrant Justice Center,Chicago,Illinois,United States,"208 S. LaSalle St., Suite 1300, Chicago, IL 60604",,(312) 660-1370; (312) 660-1317 (referrals),nijcfip@heartlandalliance.org,https://twitter.com/nijc,http://www.immigrantjustice.org/,,,,"NIJC will accept referrals for previously separated parents, children, and families who are currently located in or are moving to Illinois, Indiana, and Wisconsin. For individuals outside of those states, NIJC will provide referrals to appropriate legal service providers or work with pro bono partners.  NIJC will also continue to work with partners throughout the country to advance protections through litigation, public education and direct service as appropriate. LOP provided at McHenry County Adult Correctional Facility (IL) and Kenosha County Detention Center (WI)",
Vera LOP Contractor,,https://www.caircoalition.org/news-clip/press-release-class-action-lawsuit-filed-virginia-challenge-ices-policy-keeping,"Current Crisis, General",,,Capital Area Immigrants’ Rights Coalition,,Maryland,United States,,,202-331-3320; extension 7027 (detained adults); 202-870-5843 (detained kids),adults@caircoalition.org; children@caircoalition.org,https://twitter.com/CAIRCoalition,https://www.caircoalition.org/,,,,"Serves Frederick County Adult Detention Center (MD), Howard County Detention Center (MD), Ordnance Road Correctional Center (MD, Worcester County Detention Center (MD), Farmville Detention Center (VA), and Virginia Peninsula Regional Jail (VA)",
Vera LOP Contractor,,http://www.philly.com/philly/news/new_jersey/universal-representation-undocumented-immigrants-deportation-new-jersey-20180703.html,"Current Crisis, General",40.526897,-74.387326,Legal Services of New Jersey,Edison,New Jersey,United States,"P.O. Box 1357, Edison, NJ 08818-1357",,(732) 572-9100,,https://twitter.com/lsnj,https://www.lsnj.org/,,,,"Serves Elizabeth Detention Center, Essex County Correctional Facility, and Hudson County Correctional Facility",
Vera LOP Contractor,,http://www.mcall.com/news/local/mc-nws-berks-immigration-family-detention-center-20180703-story.html,"Current Crisis, General",39.961283,-76.726427,Pennsylvania Immigration Resource Center,York,Pennsylvania,United States,"P.O. Box 20339, York PA, 17402",,717-600-8099,,,http://www.pirclaw.org/,,,,Serves York County Prison,
,,https://www.ccab.org/node/1271,Current Crisis,40.712764,-74.008447,Immigrant Connection Project,New York,New York,United States,"233 Broadway, 2nd Floor, New York, NY 10279",,(212) 334-1300,contactvera@vera.org,https://twitter.com/verainstitute,https://www.vera.org/projects/immigrant-connection-project,,,,,
,,https://www.businesswire.com/news/home/20180124005262/en/YMCA-Greater-Houston-Launches-ClientTrack-Platform-Statewide,"Current Crisis, General",29.770149,-95.370172,YMCA of Greater Houston,Houston,Texas,United States,"P.O. Box 3007, Houston, Texas, 77253",,(713)-659-5566,,https://twitter.com/ymcahouston,https://www.ymcahouston.org/,,,,"Serves Houston Contract Detention Facility, IAH Secure Adult Detention Facility (""Polk""), Joe Corley Detention Facility",
,,http://abc7.com/california-housing-many-detained-immigrant-children/3634263/,"Current Crisis, General",34.050327,-118.272548,Esperanza Immigrant Right Project,Los Angeles,California,United States,"1530 James M Wood Blvd, Los Angeles, California, 90015",,(213) 251-3505,,https://twitter.com/esperanzaccla,https://www.esperanza-la.org/,,,,Serves Adelanto ICE Processing Center,
,,https://www.apnews.com/989ce26984794ab9ac90b4b842001aae,Current Crisis,40.338261,-75.926428,ALDEA The Project's People Justice,Reading,Pennsylvania,United States,"532 Walnut Street, Reading, PA 19601",,(484) 926-2014,Aldeapjc@gmail.com,,https://aldeapjc.org/,,,,,
