common_district,id,id2,geography,party,population,population_moe,households,households_moe,med_income_households,med_income_households_moe,fy13,fy14,fy15,fy16,fy17,fy18,med_hh_inc_pct_fy13,med_hh_inc_pct_fy14,med_hh_inc_pct_fy15,med_hh_inc_pct_fy16,med_hh_inc_pct_fy17,med_hh_inc_pct_fy18,ice_per_person_fy13_fy18,ice_cum_fy13_fy18,pct_total,cum_pct_total
alabama 1,5001500US0101,101,"Congressional District 11 (115th Congress), Virginia",D,802910,15730,271313,4755,106554,3043,7342568.27,2739131.14,8340411.83,63969343.59,330491760.88,846383639.58,0.03%,0.01%,0.03%,0.22%,1.14%,2.93%,"$1,568.38","$1,259,266,855.29",12.38%,12.38%
alabama 3,5001500US0103,103,"Congressional District 50 (115th Congress), California",R,751527,12232,238443,4468,71692,2454,173650576.77,172254218.18,172254218.18,169223108.02,169210576.82,180306912.4,1.02%,1.01%,1.01%,0.99%,0.99%,1.05%,"$1,379.72","$1,036,899,610.37",10.20%,22.58%
alabama 2,5001500US0102,102,"Congressional District 1 (115th Congress), New Mexico",D,702719,7505,271742,3226,49570,1878,0,50050874.32,0,84411.89,414696276.6,530198281.27,0.00%,0.37%,0.00%,0.00%,3.08%,3.94%,"$1,415.97","$995,029,844.08",9.78%,32.36%
alabama 4,5001500US0104,104,"Congressional District (at Large) (115th Congress), Alaska",R,741894,*****,248468,2841,76440,2230,0,37280965.9,4612348.99,94578491.12,336700252.09,416580067.18,0.00%,0.20%,0.02%,0.50%,1.77%,2.19%,"$1,199.30","$889,752,125.28",8.75%,41.11%
alabama 5,5001500US0105,105,"Congressional District 8 (115th Congress), Virginia",D,783079,9948,314900,4373,100719,1381,99312452.03,62190338.54,96610107.64,63435578.37,175314706.35,363991936.03,0.31%,0.20%,0.30%,0.20%,0.55%,1.15%,"$1,099.32","$860,855,118.96",8.46%,49.57%
alabama 6,5001500US0106,106,"Congressional District 22 (115th Congress), Florida",D,737019,10420,302908,6235,60159,2044,0,0,0,65833994.61,229972443.9,329871277.62,0.00%,0.00%,0.00%,0.36%,1.26%,1.81%,$848.93,"$625,677,716.13",6.15%,55.72%
alaska 0,5001500US0200,200,"Congressional District 10 (115th Congress), Virginia",R,827279,10742,272000,3477,120384,3347,17684089.19,16328259.73,64370154.55,48237990.87,220007413.74,220385584.94,0.05%,0.05%,0.20%,0.15%,0.67%,0.67%,$709.57,"$587,013,493.02",5.77%,61.50%
alabama 7,5001500US0107,107,"Congressional District 23 (115th Congress), Texas",R,772944,18777,226789,5893,51293,1537,0,0,0,0,270192398.29,283847565.7,0.00%,0.00%,0.00%,0.00%,2.32%,2.44%,$716.79,"$554,039,963.99",5.45%,66.94%
arizona 1,5001500US0401,401,"Congressional District 52 (115th Congress), California",D,750537,15408,281618,5314,90854,1839,0,8300,0,287979.56,3109496.13,466498558.21,0.00%,0.00%,0.00%,0.00%,0.01%,1.82%,$626.09,"$469,904,333.90",4.62%,71.56%
arizona 2,5001500US0402,402,"Congressional District 2 (115th Congress), Colorado",D,803470,6059,311376,4303,75659,2222,0,238789.23,0,63492.8,162482045.6,228174815.43,0.00%,0.00%,0.00%,0.00%,0.69%,0.97%,$486.59,"$390,959,143.06",3.84%,75.41%
arizona 3,5001500US0403,403,"Congressional District 18 (115th Congress), Florida",R,754652,10080,291685,5825,54913,1975,31831829.7,48025221.42,48010595.79,55159282.85,56820110.95,41367946.59,0.20%,0.30%,0.30%,0.34%,0.35%,0.26%,$372.64,"$281,214,987.30",2.76%,78.17%
arizona 4,5001500US0404,404,"Congressional District 5 (115th Congress), Tennessee",D,762535,2058,311394,3378,54470,2147,0,0,0,43629893.78,89557036.86,138262015.57,0.00%,0.00%,0.00%,0.26%,0.53%,0.82%,$355.98,"$271,448,946.21",2.67%,80.84%
arizona 5,5001500US0405,405,"Congressional District 8 (115th Congress), Maryland",D,757144,12165,281805,4121,98991,2231,39365.9,712761.74,530947.28,362851.31,80610568.42,162210526.97,0.00%,0.00%,0.00%,0.00%,0.29%,0.58%,$322.88,"$244,467,021.62",2.40%,83.24%
arizona 6,5001500US0406,406,"Congressional District 27 (115th Congress), Texas",R,736778,6082,260365,4855,53047,2082,0,0,0,71927837.49,71927837.49,93149444.76,0.00%,0.00%,0.00%,0.52%,0.52%,0.67%,$321.68,"$237,005,119.74",2.33%,85.58%
arizona 7,5001500US0407,407,"Congressional District 3 (115th Congress), New York",D,732591,12035,247036,4458,111504,2860,0,0,0,49468.74,11976,125587244.8,0.00%,0.00%,0.00%,0.00%,0.00%,0.46%,$171.51,"$125,648,689.54",1.24%,86.81%
arizona 8,5001500US0408,408,"Delegate District (at Large) (115th Congress), District of Columbia",,681170,*****,281241,3152,75506,3416,0,2247000.54,6576280.82,758148.58,26900378.27,75363111.62,0.00%,0.01%,0.03%,0.00%,0.13%,0.35%,$164.20,"$111,844,919.83",1.10%,87.91%
arizona 9,5001500US0409,409,"Congressional District 18 (115th Congress), California",D,739012,13588,268446,4860,125790,4347,19200592.56,12080065.52,12080065.52,13297,843004.17,40039723.09,0.06%,0.04%,0.04%,0.00%,0.00%,0.12%,$114.01,"$84,256,747.86",0.83%,88.74%
arkansas 1,5001500US0501,501,"Congressional District 3 (115th Congress), Maryland",D,764166,16478,292373,5645,83620,3248,2434946.83,2434946.83,0,2109213.07,38390236.98,9136134.67,0.01%,0.01%,0.00%,0.01%,0.16%,0.04%,$71.33,"$54,505,478.38",0.54%,89.27%
arkansas 2,5001500US0502,502,"Congressional District 6 (115th Congress), Maryland",D,757889,12668,270725,4791,75774,2175,0,4940,0,2858429.92,18880462.56,24850597.39,0.00%,0.00%,0.00%,0.01%,0.09%,0.12%,$61.48,"$46,594,429.87",0.46%,
california 4,5001500US0604,604,"Congressional District 3 (115th Congress), Texas",R,842800,5868,304582,3200,88619,2714,0,0,8955,7051,39453.71,44364840.63,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%,$52.71,"$44,420,300.34",0.44%,
arkansas 3,5001500US0503,503,"Congressional District 6 (115th Congress), New York",D,753744,16877,266579,5283,61956,2069,20901670.28,18691353.02,0,0,1323970.44,3244985.77,0.13%,0.11%,0.00%,0.00%,0.01%,0.02%,$58.59,"$44,161,979.51",0.43%,
arkansas 4,5001500US0504,504,"Congressional District 1 (115th Congress), Washington",D,738149,9359,270730,4492,91018,2344,0,15372241,0,555366.9,4325767.04,22509018.38,0.00%,0.06%,0.00%,0.00%,0.02%,0.09%,$57.93,"$42,762,393.32",0.42%,
