id,id2,display_label,party,district_url,representative,representative_photo_url,population,population_moe,households,households_moe,median_income_hh,median_income_hh_moe,fy13,fy14,fy15,fy16,fy17,fy18,total_awards
5001500US5111,5111,"Congressional District 11 (115th Congress), Virginia",D,https://en.wikipedia.org/wiki/Virginia%27s_11th_congressional_district,Gerry Connolly,https://en.wikipedia.org/wiki/File:Gerry_Connolly_official_photo_(cropped).jpg,802910,15730,271313,4755,106554,3043,"$7,342,568.27","$6,658,031.21","$8,340,411.83","$63,969,343.59","$330,491,760.88","$853,279,899.30","$1,270,082,015.08"
5001500US0650,650,"Congressional District 50 (115th Congress), California",R,https://en.wikipedia.org/wiki/California%27s_50th_congressional_district,Duncan D. Hunter,"https://en.wikipedia.org/wiki/File:Duncan_D._Hunter,_official_photo_portrait,_111th_Congress.jpg",751527,12232,238443,4468,71692,2454,"$173,650,576.77","$172,254,218.18","$172,254,218.18","$169,223,108.02","$169,210,576.82","$180,306,912.40","$1,036,899,610.37"
5001500US3501,3501,"Congressional District 1 (115th Congress), New Mexico",D,https://en.wikipedia.org/wiki/New_Mexico%27s_1st_congressional_district,Michelle Lujan Grisham,https://en.wikipedia.org/wiki/File:Michelle_Lujan_Grisham_official_photo_(cropped).jpg,702719,7505,271742,3226,49570,1878,$0.00,"$50,050,874.32",$0.00,"$84,411.89","$414,696,276.60","$530,198,281.27","$995,029,844.08"
5001500US0200,200,"Congressional District (at Large) (115th Congress), Alaska",R,https://en.wikipedia.org/wiki/Alaska%27s_at-large_congressional_district,Don Young,"https://en.wikipedia.org/wiki/File:Don_Young,_official_115th_Congress_photo_portrait_(cropped).jpg",741894,*****,248468,2841,76440,2230,$0.00,"$37,280,965.90","$4,612,348.99","$94,578,491.12","$336,700,252.09","$416,580,067.18","$889,752,125.28"
5001500US5108,5108,"Congressional District 8 (115th Congress), Virginia",D,https://en.wikipedia.org/wiki/Virginia%27s_8th_congressional_district,Don Beyer,"https://en.wikipedia.org/wiki/File:Don_Beyer,_official_114th_Congress_photo_portrait_(cropped).jpeg",783079,9948,314900,4373,100719,1381,"$99,312,452.03","$62,190,338.54","$96,610,107.64","$63,435,578.37","$175,314,706.35","$367,542,507.93","$864,405,690.86"
5001500US1222,1222,"Congressional District 22 (115th Congress), Florida",D,https://en.wikipedia.org/wiki/Florida%27s_22nd_congressional_district,Ted Deutch,https://en.wikipedia.org/wiki/File:Ted_Deutsch_(cropped).jpg,737019,10420,302908,6235,60159,2044,$0.00,$0.00,$0.00,"$65,833,994.61","$229,972,443.90","$329,871,277.62","$625,677,716.13"
5001500US5110,5110,"Congressional District 10 (115th Congress), Virginia",R,https://en.wikipedia.org/wiki/Virginia%27s_10th_congressional_district,Barbara Comstock,"https://en.wikipedia.org/wiki/File:Barbara_Comstock_official_photo,_114th_Congress_(cropped).jpg",827279,10742,272000,3477,120384,3347,"$17,684,089.19","$16,328,259.73","$64,370,154.55","$48,237,990.87","$220,007,413.74","$220,409,218.94","$587,037,127.02"
5001500US4823,4823,"Congressional District 23 (115th Congress), Texas",R,https://en.wikipedia.org/wiki/Texas%27s_23rd_congressional_district,Will Hurd,https://en.wikipedia.org/wiki/File:Willhurd_(cropped).jpg,772944,18777,226789,5893,51293,1537,$0.00,$0.00,$0.00,$0.00,"$270,192,398.29","$283,847,565.70","$554,039,963.99"
5001500US0652,652,"Congressional District 52 (115th Congress), California",D,https://en.wikipedia.org/wiki/California%27s_52nd_congressional_district,Scott Peters,https://en.wikipedia.org/wiki/File:Scott_Peter%27s_Official_113th_Congressional_Portrait_(cropped).jpg,750537,15408,281618,5314,90854,1839,$0.00,"$8,300.00",$0.00,"$287,979.56","$3,109,496.13","$466,498,558.21","$469,904,333.90"
5001500US0802,802,"Congressional District 2 (115th Congress), Colorado",D,https://en.wikipedia.org/wiki/Colorado%27s_2nd_congressional_district,Jared Polis,https://en.wikipedia.org/wiki/File:Jared_Polis_official_photo_(cropped).jpg,803470,6059,311376,4303,75659,2222,$0.00,"$238,789.23",$0.00,"$63,492.80","$162,482,045.60","$228,174,815.43","$390,959,143.06"
