awardID,fiscalYear,currentValue,duns,companyCongCode,performanceCongCode
70CDCR18A00000003,2018,0,618954465,650,****
70CDCR18C00000001,2018,6877,79518541,2004,2004
70CDCR18C00000002,2018,33108514.74,19992424,4821,4821
70CDCR18C00000003,2018,89536827.2,179570403,5108,5108
70CDCR18C00000004,2018,14000,92430107,1705,1707
70CDCR18C00000005,2018,36157.44,158110697,649,649
70CDCR18C00000006,2018,16600,80526889,1714,1714
70CDCR18D00000001,2018,0,143530926,4814,****
70CDCR18D00000002,2018,0,879740454,200,****
70CDCR18FC0000001,2018,2948854.82,159734151,4705,4705
70CDCR18FC0000002,2018,623521.16,62722038,1220,1220
70CDCR18FC0000003,2018,591187.55,883012874,2903,2903
70CDCR18FC0000004,2018,10950.03,99903148,3622,3622
70CDCR18FC0000005,2018,3846600,737341631,1218,634
70CDCR18FC0000006,2018,3332333,737341631,1218,407
70CDCR18FC0000007,2018,4795993,737341631,1218,606
70CDCR18FC0000008,2018,390683.26,3073525,2407,2407
70CDCR18FC0000011,2018,2296183.66,612706465,1222,1221
70CDCR18FC0000012,2018,1200000,618954465,650,651
70CDCR18FC0000013,2018,325500,618954465,650,651
70CDCR18FC0000014,2018,563271.45,14127109,5108,1100
70CDCR18FC0000016,2018,5848.86,6012801,2602,2602
70CDCR18FC0000018,2018,8000,71191787,4211,4204
70CDCR18FC0000019,2018,8146.8,784141384,3610,3610
70CDCR18FC0000021,2018,7356324.46,382014330,5111,5111
70CDCR18FC0000022,2018,9333.8,119079903,5102,4834
70CDCR18FC0000023,2018,14395.5,6012801,2602,2602
70CDCR18FC0000024,2018,5866.45,62722038,1220,4206
70CDCR18FC0000025,2018,18808.65,3073525,2407,2407
70CDCR18FC0000026,2018,19875,790801765,2104,2202
70CDCR18FIGR00225,2018,22500,198705100,651,651
70CDCR18FR0000002,2018,125569076.8,961704876,3603,3603
70CDCR18FR0000003,2018,35319616.42,69586055,200,200
70CDCR18FR0000004,2018,383678,143530926,4814,1100
70CDCR18FR0000005,2018,5985,210244596,3910,1707
70CDCR18FR0000006,2018,630000,167448955,649,649
70CDCR18FR0000008,2018,82918.08,160853300,611,404
70CDCR18FR0000009,2018,26930813.15,612706465,1222,1222
70CDCR18FR0000010,2018,38309.91,236960576,3902,3601
70CDCR18FR0000012,2018,4225.22,940825334,801,801
70CDCR18FR0000013,2018,6444,12480808,406,406
70CDCR18FR0000014,2018,3638.57,617606645,646,646
70CDCR18FR0000016,2018,5584.46,42630900,5505,5505
70CDCR18FR0000017,2018,5968701.2,159734151,4705,3913
70CDCR18FR0000018,2018,6427344.98,166084541,3605,3605
70CDCR18FR0000019,2018,4906.8,784141384,3610,4834
70CDCR18FR0000020,2018,8252420,79253761,200,3627
70CDCR18FR0000021,2018,63111.28,31331051,2001,2001
70CDCR18FR0000024,2018,15072,1573596,4822,4822
70CDCR18FR0000025,2018,4240,12480808,406,406
70CDCR18FR0000026,2018,15076.86,64632888,2902,2902
70CDCR18FR0000027,2018,151590.92,828373006,4816,4816
70CDCR18FR0000028,2018,7558,11520277,3410,4201
70CDCR18FR0000029,2018,4240,103041182,630,629
70CDCR18FR0000030,2018,3688,191418933,4824,4824
70CDCR18FR0000031,2018,2657.53,4996112,4832,4832
70CDCR18FR0000032,2018,5655.04,78622984,3910,2103
70CDCR18FR0000033,2018,4175.7,243275612,****,4829
70CDCR18FR0000034,2018,4999.62,1573596,4822,1305
70CDCR18FR0000035,2018,383340,112281840,1198,1100
70CDCR18FR0000037,2018,22223,93019953,645,645
70CDCR18FR0000038,2018,17988.75,5103494,1710,4201
70CDCR18FR0000039,2018,8514,966648503,2408,2406
70CDCR18FR0000040,2018,52445,791120124,651,651
