domain,totalResults
enterprisenews.com,10
athensnews.com,3
siouxcityjournal.com,21
cullmantimes.com,7
post-journal.com,4
thecourier.com,17
alligator.org,10
hutchnews.com,14
petoskeynews.com,22
morganton.com,5
heraldandnews.com,12
goupstate.com,11
nevadaappeal.com,13
mohavedailynews.com,9
abqjournal.com,45
oleantimesherald.com,48
bakersfield.com,15
news-journal.com,27
mitchellrepublic.com,9
salisburypost.com,5
wcfcourier.com,34
wickedlocal.com,69
goerie.com,34
theindependent.com,35
dailyrepublic.com,29
coloradoan.com,45
wickedlocal.com,69
chieftain.com,78
wickedlocal.com,69
wickedlocal.com,69
statesmanjournal.com,48
silive.com,71
wickedlocal.com,69
dnj.com,122
wickedlocal.com,69
wickedlocal.com,69
wickedlocal.com,69
wickedlocal.com,69
wickedlocal.com,69
bendbulletin.com,77
trib.com,622
star-telegram.com,988
wickedlocal.com,69
douglasdispatch.com,638
news-press.com,86
thedartmouth.com,5
gilmermirror.com,6
meridianstar.com,3
thevillager.com,1
butlereagle.com,11
laurinburgexchange.com,1
demingheadlight.com,4
qconline.com,10
starbeacon.com,5
observer-reporter.com,11
norwalkreflector.com,8
durangoherald.com,6
aikenstandard.com,15
citypages.com,13
sctimes.com,26
bdtonline.com,12
ourmidland.com,29
cumberlink.com,18
palestineherald.com,2
dailycal.org,39
nonpareilonline.com,13
bellinghamherald.com,45
ft.com,25775
winonadailynews.com,24
t-g.com,3
sunherald.com,50
tauntongazette.com,4
thespectrum.com,37
seacoastonline.com,17
themercury.com,6
thenewsstar.com,55
wacotrib.com,42
tri-cityherald.com,45
postbulletin.com,42
mailtribune.com,10
hcn.org,8
thehour.com,13
billingsgazette.com,5059
villagevoice.com,26
ncnewsonline.com,3
theleafchronicle.com,66
wickedlocal.com,69
bnd.com,56
qctimes.com,49
staugustine.com,36
wickedlocal.com,69
orlandoweekly.com,5
helenair.com,86
dailyitem.com,52
brownsvilleherald.com,359
concordmonitor.com,141
eagletribune.com,9
nwfdailynews.com,11
dailyrecord.com,88
gvnews.com,3
heraldnet.com,66
examiner-enterprise.com,7
rrstar.com,7
lansingstatejournal.com,264
islandpacket.com,151
roanoke.com,129809
globegazette.com,11
standard.net,19
yorkdispatch.com,18
themonitor.com,2620
rutlandherald.com,16
tuscaloosanews.com,38
kearneyhub.com,11
pilotonline.com,120
whig.com,52
mtstandard.com,34
thetelegraph.com,17
elpasotimes.com,35
nhregister.com,98
freep.com,9444
crainsdetroit.com,73
timesunion.com,237
syracuse.com,454
kdhnews.com,7
jacksonville.com,267
orlandosentinel.com,1105
rgj.com,110
southbendtribune.com,5062
thestate.com,1267
startribune.com,145629
burlingtonfreepress.com,57
bostonherald.com,54532
gazette.com,52
azcentral.com,19080
readingeagle.com,71
wickedlocal.com,69
tcpalm.com,148
newsok.com,309
lmtribune.com,9
djournal.com,7
rep-am.com,1
arkansasbusiness.com,2
globegazette.com,11
register-herald.com,24
semissourian.com,8
cleveland.com,1503
lasvegassun.com,158
courierpostonline.com,110
pennlive.com,290
seattletimes.com,180896
ledger-enquirer.com,162
weirtondailytimes.com,4
qconline.com,10
gjsentinel.com,13
theitem.com,22
rapidcityjournal.com,17
pjstar.com,24
metrotimes.com,14
theledger.com,37
wickedlocal.com,69
telegram.com,59
savannahnow.com,51
therepublic.com,45
qctimes.com,49
westword.com,31
pressrepublican.com,12
missoulian.com,30
columbian.com,78
registerguard.com,37
kcchronicle.com,2798
tulsaworld.com,13871
sltrib.com,412
timesfreepress.com,118
latimes.com,76857
fresnobee.com,109
usatoday.com,121516
dailyherald.com,216
triblive.com,430
