domain,totalResults
taosnews.com,3
fltimes.com,8
qconline.com,10
timesenterprise.com,2
browndailyherald.com,6
newstimes.com,49
eveningsun.com,5
wickedlocal.com,69
adn.com,50
bgdailynews.com,14
thestarpress.com,14
greenwichtime.com,30
fosters.com,33
wickedlocal.com,69
argusleader.com,41
azcapitoltimes.com,5
charlestoncitypaper.com,5
phoenixnewtimes.com,9
dentonrc.com,10
fsunews.com,7
timesonline.com,17
pjstar.com,24
indianagazette.com,14
magicvalley.com,18
wweek.com,26
tcpalm.com,148
vnews.com,48
wickedlocal.com,69
tcpalm.com,148
wickedlocal.com,69
myplainview.com,117
journalgazette.net,62
investors.com,85
messenger-inquirer.com,33
wickedlocal.com,69
aspentimes.com,13
pantagraph.com,69
ljworld.com,63
jacksonsun.com,58
newsday.com,571
heraldnet.com,66
wickedlocal.com,69
post-gazette.com,803
mcall.com,297
tcpalm.com,148
panews.com,3
lmtribune.com,9
pennlive.com,290
idahostatesman.com,128
csindy.com,7
latimes.com,76857
capjournal.com,1
dailycommercial.com,7
sunjournal.com,15
stardem.com,9
maysville-online.com,6
beaumontenterprise.com,34
citizentribune.com,5
bloomberg.com,43137
dallasobserver.com,2972
masslive.com,429
latimes.com,76857
oregonlive.com,16750
citizen-times.com,93
journalnow.com,94
miaminewtimes.com,21
poughkeepsiejournal.com,26
wctrib.com,21
dailycomet.com,35
poconorecord.com,25
salemnews.com,13
wickedlocal.com,69
lowellsun.com,19
greatfallstribune.com,49
nydailynews.com,50046
daily-journal.com,18
crainscleveland.com,22
sj-r.com,19
azdailysun.com,25
wickedlocal.com,69
newsadvance.com,69
latimes.com,76857
cjonline.com,57
wickedlocal.com,69
telegram.com,59
dothaneagle.com,36
boston.com,792
wickedlocal.com,69
sun-sentinel.com,548
courier-journal.com,613
lmtonline.com,77
forward.com,209
variety.com,21105
macon.com,92
dispatch.com,3981
ohio.com,102
stripes.com,18715
nytimes.com,40773
theadvocate.com,17048
roanoke.com,129809
observer.com,6321
njherald.com,266
toledoblade.com,98
omaha.com,8022
ajc.com,1316
nj.com,34513
clarionledger.com,239
stamfordadvocate.com,607
desmoinesregister.com,353
knoxnews.com,1895
sportingnews.com,9778
thesunchronicle.com,2862
csmonitor.com,193
dallasnews.com,24764
fredericksburg.com,99
philly.com,1858
suntimes.com,546
chron.com,1682
chattanoogan.com,9
thetowntalk.com,4
nypost.com,49948
ahherald.com,1
theworldlink.com,4
paducahsun.com,7
njbiz.com,4
dailydemocrat.com,3
mdjonline.com,17
capecodtimes.com,19
newsleader.com,17
theoaklandpress.com,27
wickedlocal.com,69
dailyprogress.com,182
annistonstar.com,42
onlineathens.com,60
gwinnettdailypost.com,27
mysanantonio.com,333
caller.com,139
boston.com,792
tcpalm.com,148
ydr.com,64
heraldonline.com,244
greenvilleonline.com,102
triblive.com,430
delawareonline.com,212
montgomeryadvertiser.com,266
jconline.com,90
timesdaily.com,93
naplesnews.com,125
journalstar.com,172
tennessean.com,17974
pennlive.com,290
denverpost.com,27143
herald-review.com,35
chicagotribune.com,44970
richmond.com,111147
