name, duns
"Amazon.com, Inc.", "884745530"
"AT&T Inc.", "108024050"
"Verizon Communications Inc.", "107212169"
"The Boeing Company", "009256819"
"Microsoft Corporation", "081466849"
"SOFTBANK GROUP CORP.", "690651989"
"Comcast Corporation", "057156663"
"International Business Machines Corporation", "001368083"
"Cellco Partnership", "968904698"
"United Parcel Service, Inc.", "006991681"
"Fedex Corporation", "003141970"
"Charter Communications, Inc.", "150776503"
"Jardine Matheson Holdings Limited", "875632531"
"JOHNSON CONTROLS INTERNATIONAL PUBLIC LIMITED COMPANY", "985594574"
"Johnson Controls, Inc.", "006092860"
"ACCENTURE PUBLIC LIMITED COMPANY", "985015354"
"CANON INC.", "690549662"
"Cox Enterprises, Inc.", "046901799"
"3M Company", "006173082"
"General Dynamics Corporation", "001381284"
"HEWLETT PACKARD ENTERPRISE COMPANY", "079834910"
"SAP SE", "316268655"
"Arrow Electronics, Inc.", "049159957"
"Northrop Grumman Corporation", "967356127"
"DXC Technology Company", "080521853"
"Marriott International, Inc.", "013005702"
"SHARP CORPORATION", "690536925"
"U.S. Bancorp", "006213482"
"Thermo Fisher Scientific Inc.", "001408673"
"EATON CORPORATION PUBLIC LIMITED COMPANY", "985419987"
"RICOH COMPANY,LTD.", "690549118"
"AT&T Mobility LLC", "003548489"
"Centurylink, Inc.", "050911668"
"CAPGEMINI", "382014330"
"Cdw Corporation", "808068253"
"Tyco International Management Company, LLC", "001023472"
"KYOCERA CORPORATION", "690557624"
"Aramark", "791072197"
"Textron Inc.", "001338979"
"INGERSOLL-RAND PUBLIC LIMITED COMPANY", "985033590"
"Ecolab Inc.", "006154611"
"LEONARDO SPA", "428869465"
"V.F. Corporation", "002344208"
"Ernst & Young LLP", "058369562"
"G4S PLC", "737341631"
"Laboratory Corporation of America Holdings", "861422434"
"W.W. Grainger, Inc.", "005103494"
"Xerox Corporation", "049591852"
"Office Depot, Inc.", "153531108"
"Leidos Holdings, Inc.", "611641312"
"Jacobs Engineering Group Inc.", "074103508"
"Teachers Insurance and Annuity Association of America", "001724962"
"RELX GROUP PLC", "230792756"
"RELX PLC", "210244596"
"KONICA MINOLTA, INC.", "690552815"
"L3 Technologies, Inc.", "008898884"
"Hertz Global Holdings, Inc.", "080234851"
"Dell Technologies Inc.", "601839660"
"Emcor Group, Inc.", "017106386"
"Oshkosh Corporation", "006070445"
"Fortive Corporation", "080198742"
"Motorola Solutions, Inc.", "001325463"
"Olin Corporation", "001338086"
"Booz Allen Hamilton Holding Corporation", "964725688"
"Deloitte LLP", "014127109"
"Harris Corporation", "004203337"
"Pricewaterhousecoopers LLP", "001863794"
"ABM Industries Incorporated", "006911622"
"Dell Marketing L.P.", "877936518"
"CSRA Inc.", "080011988"
"Level 3 Parent, LLC", "006970263"
"Northrop Grumman Innovation Systems, Inc.", "618705925"
"Hyatt Hotels Corporation", "602495579"
"Brunswick Corporation", "001307636"
"Science Applications International Corporation", "078745061"
"Caci International Inc", "045534641"
"SMITHS GROUP PLC", "210273256"
"SERCO GROUP PLC", "298452707"
"Johns Hopkins University", "001910777"
"Stericycle, Inc.", "363596297"
"Lexmark International Inc.", "623331717"
"University System of Maryland", "003256088"
"Thomson Company Inc, The", "251100749"
"Gartner, Inc.", "097220180"
"Avaya Holdings Corp.", "808284181"
"Keysight Technologies, Inc.", "079297662"
"Gpv III, Inc.", "627071103"
"Linkedin Corporation", "129133893"
"G4s Secure Solutions (usa) Inc.", "001903723"
"ServiceMaster Global Holdings, Inc.", "079380105"
"Hig Capital Management, Inc.", "824891477"
"The University of Alabama System", "808245794"
"COBHAM PLC", "217006709"
"Booz Allen Hamilton Inc.", "006928857"
"Dollar Thrifty Automotive Group, Inc.", "611239542"
"Pierce Manufacturing, Inc.", "006126999"
"Herman Miller, Inc.", "006012801"
"Hdr, Inc.", "068668805"
"Vista Outdoor Inc.", "079728394"
"Open Text Corporation", "248503187"
"Level 3 Communications, LLC", "073090917"
"The Geo Group Inc", "612706465"
"Hospitality Properties Trust", "926878810"
"Haworth International, Ltd.", "079282059"
"Haworth, Inc.", "072595457"
"Engility Holdings, Inc.", "783837672"
"Johnson Controls Fire Protection LP", "094738007"
"John Wiley & Sons, Inc.", "001519248"
"CoreCivic, Inc.", "159734151"
"The Dun & Bradstreet Corporation", "884114609"
"Unifirst Corporation", "019723535"
"Sp Plus Corporation", "020645206"
"County of Hillsborough", "069672137"
"Cubic Corporation", "008382293"
"Fisher Scientific Company LLC", "004321519"
"Fiskars Oyj Abp", "368401212"
"ADS Tactical, Inc.", "078857127"
"Atlantic Diving Supply, Inc.", "027079776"
"Sra International, Inc.", "097779698"
"Maxim Healthcare Services, Inc.", "606290401"
"Coxcom, LLC", "071172589"
"Time Warner Cable Enterprises LLC", "790784474"
"Vf Imagewear, Inc.", "004048013"
"The Mitre Corporation", "007872690"
"Northeastern University", "001423631"
"Nana Regional Corporation, Inc.,", "079253761"
"Zones, Inc", "195590237"
"Denver Health and Hospitals Authority Inc", "093564180"
"Virginia Polytechnic Institute & State University", "003137015"
"Veritas Capital Fund Management, L.L.C.", "078628925"
"West Publishing Corporation", "148508286"
"Sharp Electronics Corporation", "001818012"
"Concur Technologies, Inc.", "867262263"
"Carahsoft Technology Corp.", "088365767"
"Aramark Uniform & Career Apparel, LLC", "088389739"
"Irobot Corporation", "807380951"
"The Terminix International Company Limited Partnership", "157241688"
"Chenega Corporation", "622692994"
"Maui Acquisition Corp.", "078602866"
"Safariland, LLC", "090161188"
"H Group Holding, Inc", "107636946"
"Altec, Inc.", "086694861"
"CSRA LLC", "079735371"
"Remington Arms Company, LLC", "001453216"
"Cubic Global Defense, Inc.", "033747226"
"Altec Industries, Inc.", "004001731"
"Management & Training Corporation", "039203740"
"Grupo Aeroportuario del Sureste, S.A.B. de C.V.", "812417640"
"4IMPRINT GROUP PLC", "218114890"
"Krueger International, Inc.", "032672651"
"Progressive Environmental Services, Inc.", "829695530"
"Tucson Hotels LP", "824878086"
"Centerra Group, LLC", "073891921"
"Tessco Technologies Incorporated", "022634265"
"Lionbridge Technologies, Inc.", "004671400"
"Unicom Global, Inc.", "078570513"
"Peraton Inc.", "602938771"
"Club Car, LLC", "088605787"
"Constellis Holdings, LLC", "966133477"
"Tessco Incorporated", "084215677"
"Ricoh Usa, Inc.", "043964519"
"Convergint Technologies LLC", "029640740"
"Stamps.com Inc.", "010521297"
"B & H Foto & Electronics Corp.", "116012659"
"The Keyw Holding Corporation", "961665820"
"LUXFER HOLDINGS PLC", "236960576"
"ECONOMIST NEWSPAPER LIMITED(THE)", "210091856"
"Palantir Technologies Inc.", "362130952"
"Trinity Services Group, Inc.", "621804913"
"The Keyw Corporation", "827110136"
"Cummins - Allison Corp.", "005069760"
"Hawaiian Telcom Holdco, Inc.", "784964426"
"Cohu, Inc.", "008381758"
"Thundercat Technology, LLC", "809887164"
"Takkt America Holding, Inc.", "042630900"
"Cdw Government LLC", "026157235"
"Alvarez LLC", "160759135"
"Eclinicalworks, LLC", "136815235"
"Ace Parking Management, Inc.", "073351538"
"Colt Defense Holding LLC", "603395794"
"Terteling Holding Company, Inc.", "007978117"
"Colt Defense LLC", "121396217"
"Red River Technology LLC", "933678708"
"Cision US Inc.", "005191895"
"RIGAKU CORPORATION", "690549415"
"Emcor Government Services, Inc.", "858888761"
"Shred-It International ULC", "251923587"
"Serco Services, Inc.", "014387489"
"The Aleut Corporation", "020256798"
"Unicom Systems Inc.", "161395389"
"Pelican Products, Inc.", "082193277"
"Bob Barker Company, Inc.", "058525536"
"United Site Services, Inc.", "133036850"
"Government Scientific Source, Inc.", "785807611"
"Inseego Corp.", "080483434"
"Novatel Wireless, Inc.", "111023727"
"Unicom Government, Inc.", "107939357"
"H&K AG", "331266275"
"Purple Communications, Inc.", "123716578"
"Kyocera Document Solutions America, Inc.", "064465503"
"The Veritas Capital Fund II L P", "160610809"
"Galls, LLC", "042598482"
"B.I. Incorporated", "094160959"
"Immixtechnology, Inc.", "098692374"
"Franklin Covey Co.", "113402713"
"National Business Furniture LLC", "076164771"
"All Points Logistics, LLC", "968451591"
"Point Blank Enterprises, Inc.", "078855857"
"U.S. Legal Support, Inc.", "002688059"
"Prudential Overall Supply", "028579803"
"Omniplex World Services Corp", "619712672"
"Fedcap Rehabilitation Services, Inc.", "071017115"
"Cornell Companies, Inc.", "797470549"
"New Tech Solutions, Inc.", "020149303"
"Dlt Mergerco LLC", "079720068"
"Dlt Solutions, LLC", "786468199"
"Comprehensive Health Holdings, Inc.", "078411793"
"Pgs Group AB", "355783010"
"The Escal Institute of Advanced Technologies Inc", "111476313"
"Testequity LLC", "623425563"
"Four Points Technology, L.L.C.", "089896737"
"V3gate, LLC", "808862598"
"Wildflower International, Ltd.", "619719693"
"Vista Outdoor Sales LLC", "079331239"
"Vermont State Colleges", "071088637"
"Dlh Holdings Corp.", "068678788"
"Panamerica Computers, Inc.", "166669742"
"FRONTEO, INC.", "710060653"
"Globalstar, Inc.", "148301935"
"Anacapa Micro Products, Inc.", "556496370"
"Guidance Software, Inc.", "013814426"
"Visionary Integration Professionals, Inc.", "806785247"
"Phacil, Inc.", "054885111"
"Satcom Direct, Inc.", "078975807"
"Leupold & Stevens, Inc.", "045776796"
"Federal Resources Supply Company", "806647801"
"Lrp Publications, Inc.", "085698900"
"Akira Technologies, Inc.", "605928246"
"MA Federal, Inc.", "942408766"
"Entech Sales and Service, LLC", "023573108"
"Govsmart, Inc.", "961600272"
"N2grate Government Technology Solutions, LLC", "963510578"
"Landoll Corporation", "031331051"
"Language Line Holdings, Inc.", "170009687"
"Visionary Integration Professionals, LLC", "036943280"
