en_final,es_final,fr_final,key,en,es,fr,NOTE
TRUE,TRUE,TRUE,ta-v1-index-modal,A rapidly deployed critical data & visualization intervention in the USA’s 2018 “Zero Tolerance Policy” for asylum seekers at the US Ports of Entry and the humanitarian crisis that has followed.,"Una intervención crítica de gráficas y datos, desplegada rápidamente como respuesta a la nueva “Política de cero tolerancia” de los EE. UU. en contra de los solicitantes de asilo en sus puertos y la crisis humanitaria que resulta.",Une intervention de visualisation et de données critiques rapidement déployée dans le contexte de la « politique de tolérance zéro » de 2018 des États-Unis pour les demandeurs d’asile aux points d’entrée américains et de la crise humanitaire qui a suivi.,
TRUE,TRUE,TRUE,ta-sitename,Torn Apart,Separados,Séparés,
TRUE,TRUE,,ta-page-not-found,Page not found 🙁,Página no encontrada 🙁,Page non trouvée 🙁,
TRUE,TRUE,,ta-requested-page-could-not-be-found,The requested page could not be found.,La página solicitada no se encontró en el servidor.,La page demandée n’a pu être trouvée.,
TRUE,TRUE,TRUE,ta-visualizations,Visualizations,Gráfica,Visualisations,
TRUE,TRUE,TRUE,ta-textures,Textures,Texturas,Textures,
TRUE,TRUE,TRUE,ta-reflections,Reflections,Reflexiones,Réflexions,
TRUE,TRUE,TRUE,ta-allies,Allies,Aliadxs,Les alliés,
TRUE,TRUE,TRUE,ta-bibliography,Bibliography,Bibliografía,Bibliographie,
TRUE,TRUE,TRUE,ta-credits,Credits,Créditos,Crédits,
TRUE,TRUE,TRUE,ta-the-trap,The Trap,La trampa,Le piège,
TRUE,TRUE,TRUE,ta-clinks,Clinks,Barrotes,Les taules,
TRUE,TRUE,TRUE,ta-the-eye,The Eye,El ojo,L’œil,
TRUE,TRUE,TRUE,ta-charts,Charts,Cifras,Les graphiques,
TRUE,TRUE,TRUE,ta-orr,ORR,ORR,ORR,
TRUE,TRUE,,ta-districts,Districts,Distritos,Districts,Viz Button Name
TRUE,TRUE,,ta-gain,Gain,Ganancias,Gains,Viz Button Name
TRUE,TRUE,,ta-freezer,Freezer,Congelador,Le congélo,Viz Button Name
TRUE,TRUE,,ta-rain,Rain,Lluvia,La pluie,Viz Button Name
TRUE,TRUE,,ta-lines,Lines,Lineas,Lignes,Viz Button Name
TRUE,TRUE,,ta-beds,Beds,Camas,Lits,Viz Button Name
TRUE,TRUE,,ta-banned,Banned,Prohibidxs,Interdits,Viz Button Name
TRUE,TRUE,,ta-murderboard,Murderboard,Pizarrón,Tableau,Viz Button Name
TRUE,TRUE,,ta-ice-tray,ICE Tray,La Bandeja,Bac à ICE,Viz Button Name
TRUE,TRUE,,ta-international,International,Internacionales,Internationaux,Used in Allies
TRUE,TRUE,,ta-united-states,United States,Estados Unidos,Etats Unis,Used in Allies
TRUE,TRUE,,ta-mexico,Mexico,México,Méxique,Used in Allies
TRUE,TRUE,TRUE,ta-v1-adp,ADP,ADP,ADP,
TRUE,TRUE,TRUE,ta-v1-facilities,Facilities,Instalaciones,Les installations,
TRUE,TRUE,TRUE,ta-v1-bookins,Bookins,Registros,Taux,
TRUE,TRUE,TRUE,ta-v1-private-juvenile-detention-facilities,Private juvenile detention facilities,Instalaciones de detención juveníl,Les centres de détention privés pour les mineurs,
