award_id,recipient_name,recipient_city_name,recipient_state_name,current_total_value,potential_total_value_of_award,awarding_office_name,awarding_office_cat,naics_description,naics_cat,award_description
HSCEMR14P00021,24/7 Delivery Service,Houston,TX,82001.36,104912.96,Mission Support Dallas,Mission Support,Couriers And Express Delivery Services,Office Supplies And Services,IGF::OT::IGF - Houston Courier Contract
HSCEMR14P00006,"24/7 Enterprises, LLC",Mountainside,NJ,234051.6,234051.6,Mission Support Dallas,Mission Support,All Other Transit And Ground Passenger Transportation,Transportation,"Van Transportation Services Newark, NJ"
HSCETC14J00117,360 IT Integrated Solutions,Reston,VA,18323192.43,23123872.42,Mission Support Washington,Mission Support,"Data Processing, Hosting, And Related Services",IT,IGF::CT::IGF Ehr Operations and Maintenance Support Services
HSCETC16J00055,360 IT Integrated Solutions,Reston,VA,3353415.04,7758581.12,Information Technology Division,Information Technology,"Data Processing, Hosting, And Related Services",IT,"IGF::CT::IGF Design,Development,O&M Support for Student and Exchange Visitor Program External Training Application (SETA)"
HSCEMS15C00004,"360 Total Concept Consulting, Inc.",Oakland,CA,332776.08,575296.08,Mission Support Orlando,Mission Support,Office Administrative Services,Office Supplies And Services,IGF::OT::IGF Administrative Support Services
70CDCR18P00000058,7655762 Canada Inc,Montreal,,4865,4865,Detention Compliance And Removals,Detention Compliance And Removals,Sporting And Recreational Goods And Supplies Merchant Wholesalers,Sports And Recreation,Training Armor
HSCEMR12C00002,A. Harold And Associates LLC,Jacksonville,FL,1910766.88,1910766.88,Mission Support Dallas,Mission Support,Professional And Management Development Training,"Education, Research And Professional Development",IGF::CT::IGF - Spanish Language Instruction
HSCEMS17F00023,A2Z Supply Corp,Stevensville,MT,71052,71052,Mission Support Washington,Mission Support,All Other Miscellaneous Fabricated Metal Product Manufacturing,Trade Services/Machinery/Manufacturing,"300 Cases of 9MM Red Marker Ammo, Part # Ff9R2, for HSI&Ero @ $236.84/Case/500 Per Case for A Total of 150,000 Rounds."
HSCEMS17F00046,A2Z Supply Corp,Stevensville,MT,112890,112890,Mission Support Washington,Mission Support,All Other Miscellaneous Fabricated Metal Product Manufacturing,Trade Services/Machinery/Manufacturing,"Ammunition for .308 Ammunition Cases: 530 @ 200 Rounds Per Case Total Ammunition: 106,000 Round"
HSCEMS17F00050,A2Z Supply Corp,Stevensville,MT,41535,41535,Mission Support Washington,Mission Support,All Other Miscellaneous Fabricated Metal Product Manufacturing,Trade Services/Machinery/Manufacturing,.308 Ammunition Part 80715
HSCEMS12P00024,A2Z Supply Corp,Stevensville,MT,9105.6,9105.6,Mission Support Orlando,Mission Support,Ammunition (Except Small Arms) Manufacturing,Munitions And Armor,To Purchase 50 Bmg 660Gr Fmj - Part #Xm33C.
HSCEMS17P00025,A2Z Supply Corp,Stevensville,MT,9976.52,9976.52,Mission Support Washington,Mission Support,Ammunition (Except Small Arms) Manufacturing,Munitions And Armor,Ammo Type: 300 Win Mag 178 Grain Eld Match
HSCEMS16P00066,A2Z Supply Corp,Stevensville,MT,53151.93,53151.93,Mission Support Washington,Mission Support,Small Arms Ammunition Manufacturing,Munitions And Armor,.308 168Gr Hornady Tap Order for 247 Cases
HSCEMS17P00083,A2Z Supply Corp,Stevensville,MT,20118,20118,Mission Support Washington,Mission Support,Small Arms Ammunition Manufacturing,Munitions And Armor,.338 Lapua Ammunition
HSCEMS17P00093,A2Z Supply Corp,Stevensville,MT,37133.6,37133.6,Mission Support Washington,Mission Support,Small Arms Ammunition Manufacturing,Munitions And Armor,"152 CA of 6.5 Creedmoor 147 Grain Polymer TIP Boat Tail Eld Match Ammunition, Part #81501, $244.30 Per CA of 200 Rounds"
HSCEMS17P00104,A2Z Supply Corp,Stevensville,MT,63900,63900,Mission Support Washington,Mission Support,Small Arms Ammunition Manufacturing,Munitions And Armor,Hornady .308 168Gr Eld-M Tap Ar Ammunition for ICE HSI and Ero.
70CMSW18FR0000008,Aardvark,La Verne,CA,38153.6,38153.6,Mission Support Washington,Mission Support,Ammunition (Except Small Arms) Manufacturing,Munitions And Armor,Specialty Munitions.
70CMSW18FR0000030,Aardvark,La Verne,CA,50722.8,50722.8,Mission Support Washington,Mission Support,Ammunition (Except Small Arms) Manufacturing,Munitions And Armor,Required Specialty Munitions Re-Fit Kits.
70CMSW18FR0000031,Aardvark,La Verne,CA,95311.98,95311.98,Mission Support Washington,Mission Support,Ammunition (Except Small Arms) Manufacturing,Munitions And Armor,Specialty Munitions Re-Fit Kits for HSI Srt in the Field.
HSCEMS16J00007,Aardvark,La Verne,CA,9229.3,9229.3,Mission Support Washington,Mission Support,Ammunition (Except Small Arms) Manufacturing,Munitions And Armor,Specialty Munitions.
HSCEMS17F00018,Aardvark,La Verne,CA,262194.92,262194.92,Mission Support Washington,Mission Support,Apparel Accessories And Other Apparel Manufacturing,Apparel/Luggage/Leather Goods,Procurement of Taser Cew Parts
HSCEMS17F00039,Aardvark,La Verne,CA,147687.7,147687.7,Mission Support Washington,Mission Support,Apparel Accessories And Other Apparel Manufacturing,Apparel/Luggage/Leather Goods,Purchase Tazers and Acessories
HSCEMS17F00073,Aardvark,La Verne,CA,2071627.6,2071627.6,Mission Support Washington,Mission Support,Apparel Accessories And Other Apparel Manufacturing,Apparel/Luggage/Leather Goods,Taser Units and Accessories
HSCEMS16J00102,Aardvark,La Verne,CA,35210,35210,Mission Support Washington,Mission Support,"Small Arms, Ordnance, And Ordnance Accessories Manufacturing",Munitions And Armor,Speciality Munitions Taser Parts (Based Off of CBP Taser Idiq HSBP10-14-D-00035) for Fps
