county,link,name,state,lat,long,geocoded-address,found
Indianapolis,http://www.hspa.com/,Hoosier State Press Association,Indiana,39.7666296,-86.1566034,"41 E Washington St # 301, Indianapolis, IN 46204, USA",Match
Anderson,http://www.heraldbulletin.com/,Anderson Herald Bulletin,Indiana,40.1043478,-85.6808684,"1133 Jackson St, Anderson, IN 46016, USA",Match
Muncie,http://www.dailynews.bsu.edu/,Ball State Daily News,Indiana,40.2021985,-85.4088306,"Bldg Aj278, Muncie, IN 47306, United States",Match
Greencastle,http://www.bannergraphic.com/,Banner-Graphic,Indiana,39.6449316,-86.8657313,"100 N Jackson St, Greencastle, IN 46135, USA",Match
Bloomington,http://www.indepen.com/,Bloomington Independent,Indiana,28.7093854,-96.8565427,"Bloomington Independent School District, TX, USA",Match
Nashville,http://www.browncountyindiana.com/,Brown County Democrat,Indiana,39.206557,-86.2451179,"147 E Main St, Nashville, IN 47448, USA",Match
Chesterton,http://chestertontribune.com/,Chesterton Tribune,Indiana,41.6101016,-87.0518848,"193 S Calumet Rd, Chesterton, IN 46304, USA",Match
Connersville,http://www.connersvillein.com/news-examiner/,Connersville News-Examiner,Indiana,39.6405557,-85.1398328,"406 N Central Ave, Connersville, IN 47331, USA",Match
Corydon,http://www.corydondemocrat.com/,The Corydon Democrat,Indiana,38.2119764,-86.1267233,"301 N Capitol Ave, Corydon, IN 47112, USA",Match
New Castle,http://www.thecouriertimes.com/,The Courier-Times,Indiana,39.9304598,-85.3692504,"201 S 14th St, New Castle, IN 47362, USA",Match
Evansville,http://www.uecrescent.org/,The Crescent Online,Indiana,37.9715592,-87.5710898,"Evansville, IN, USA",Partial Match
Crown Point,http://www.crownpoint.net/star_newspaper.htm,Crown Point Star,Indiana,41.4181796,-87.3650598,"Crown Point, IN 46307, USA",Match
Franklin,http://www.thejournalnet.com/,Daily Journal of Johnson County,Indiana,39.480272,-86.0542748,"30 S Water St, Franklin, IN 46131, USA",Match
Indianapolis,http://www.butler.edu/dawgnet/,Dawg Net,Indiana,39.768403,-86.158068,"Indianapolis, IN, USA",Partial Match
Edinburgh,http://www.thejournalnet.com/,Edinburgh Courier,Indiana,45.1124369,-93.3267106,"8700 Edinbrook Crossing, Brooklyn Park, MN 55443, USA",Match
Elkhart,http://www.elkharttruth.com/,Elkhart Ttruth,Indiana,41.6829665,-85.973405,"421 S 2nd St, Elkhart, IN 46516, USA",Match
Kentland,http://www.enterprise-online.com/,The Enterprise,Indiana,40.768819,-87.444694,"305 E Graham St, Kentland, IN 47951, USA",Match
Evansville,http://www.myinky.com/ecp/home/,Evansville Courier and Press,Indiana,37.9747542,-87.5604378,"Evansville, IN 47702, USA",Match
Auburn,http://www.kpcnews.com/,The Evening Star,Indiana,41.3669942,-85.0588575,"Auburn, IN 46706, USA",Partial Match
Frankfort,http://www.ftimes.com/,Frankfort Times,Indiana,40.2794809,-86.5108355,"Frankfort, IN 46041, USA",Partial Match
Goshen,http://goshennews.com/,Goshen News,Indiana,41.585885,-85.834026,"0569, 114 S Main St, Goshen, IN 46526, United States",Match
Anderson,http://www.theheraldbulletin.com/,Herald Bulletin,Indiana,40.1043478,-85.6808684,"1133 Jackson St, Anderson, IN 46016, USA",Match
Monticello,http://www.thehj.com/,Herald Journal,Indiana,40.7446992,-86.7619447,"114 S Main St, Monticello, IN 47960, USA",Match
Bloomington,http://www.hoosiertimes.com/,Herald-Times,Indiana,39.1446344,-86.5329818,"1900 S Walnut St, Bloomington, IN 47402, USA",Match
Cloverdale,http://www.countryconnect.com/htopics/htopics.html,Hoosier Topics,Indiana,39.5117935,-86.7940434,"1 N Main St, Cloverdale, IN 46120, USA",Match
Huntington,http://www.h-ponline.com/,Huntington Herald-Press,Indiana,40.8801383,-85.4932603,"7 N Jefferson St, Huntington, IN 46750, USA",Match
Terre Haute,http://www.idsnews.com/,Indiana Digital Student,Indiana,39.4667034,-87.4139092,"Terre Haute, IN, USA",Partial Match
Indianapolis,http://www.ibj.com/,Indianapolis Business Journal,Indiana,39.7668804,-86.1565876,"41 E Washington St # 200, Indianapolis, IN 46204, USA",Match
Indianapolis,http://www.indianapolisrecorder.com/,The Indianapolis Recorder,Indiana,39.8091331,-86.1201594,"2901 N Tacoma Ave, Indianapolis, IN 46218, USA",Match
Indianapolis,http://www.starnews.com/,The Indianapolis Star/News,Indiana,39.7645091,-86.1584923,"130 S Meridian St, Indianapolis, IN 46225, USA",Match
Lafayette,http://www.jconline.com/,Journal and Courier,Indiana,40.4078123,-86.8272323,"823 Park E Blvd C, Lafayette, IN 47905, USA",Match
Crawfordsville,http://www.journalreview.com/,Journal Review,Indiana,40.0424186,-86.9002075,"119 N Green St, Crawfordsville, IN 47933, USA",Match
Fort Wayne,http://www.journalgazette.net/,The Journal-Gazette,Indiana,41.0792952,-85.1490649,"600 W Main St, Fort Wayne, IN 46802, USA",Match
Kokomo,http://www.kokomotribune.com/,Kokomo Tribune,Indiana,40.4887429,-86.1297221,"300 N Union St, Kokomo, IN 46901, USA",Match
