fiscalYear,currentValue,name,duns,multiYear
2018,,Spectrum Security Services,618954465,true
2018,6877,Range 54,79518541,false
2018,33108514.74,Ingenesis,19992424,true
2018,89536827.2,STG International,179570403,false
2018,14000,Continental Transportation Solutions,92430107,false
2018,36157.44,Good Source Solutions,158110697,true
2018,16600,Nathaniel Howell,80526889,true
2018,,Creative Corrections,143530926,true
2018,,Trailboss Enterprises,879740454,true
2018,2948854.82,CoreCivic,159734151,true
2018,623521.16,American Purchasing Services,62722038,true
2018,591187.55,TQM,883012874,true
2018,10950.03,Central Association for the Blind,99903148,true
2018,3846600,G4S Secure Solutions USA,1903723,true
2018,3332333,G4S Secure Solutions USA,1903723,true
2018,4795993,G4S Secure Solutions USA,1903723,true
2018,390683.26,Price Modern,3073525,true
2018,2296183.66,The Geo Group,612706465,true
2018,1200000,Spectrum Security Services,618954465,true
2018,325500,Spectrum Security Services,618954465,true
2018,563271.45,Deloitte Consulting,19121586,true
2018,5848.86,Herman Miller,6012801,false
2018,8000,The ARC of Cumberland and Perry Counties,71191787,true
2018,8146.8,Premier & Companies,784141384,true
2018,7356324.46,Capgemini Government Solutions,132048377,true
2018,9333.8,The Office Group,119079903,false
2018,14395.5,Herman Miller,6012801,false
2018,5866.45,American Purchasing Services,62722038,true
2018,18808.65,Price Modern,3073525,true
2018,19875,Benefit Planning,790801765,true
2018,22500,Hariom,198705100,true
2018,125569076.8,Classic Air Charter,961704876,false
2018,35319616.42,Ahtna Support and Training Services,609636910,true
2018,383678,Creative Corrections,143530926,true
2018,5985,Relx,877672683,true
2018,630000,XRAD Tele-Services,167448955,true
2018,82918.08,Safe Restraints,160853300,false
2018,26930813.15,The Geo Group,612706465,true
2018,38309.91,Luxfer Magtech,79446686,true
2018,4225.22,Contract Furnishings,100650816,false
2018,6444,ML Click Marketing,12480808,true
2018,3638.57,Allied Modular Building Systems,617606645,false
2018,5584.46,National Business Furniture,76164771,true
2018,5968701.2,CoreCivic,159734151,true
2018,6427344.98,ISS Action,166084541,false
2018,4906.8,Premier & Companies,784141384,true
2018,8252420,Akima Global Services,832895085,true
2018,63111.28,Landoll Corporation,31331051,false
2018,15072,Rita’S Tape Media,1573596,true
2018,4240,ML Click Marketing,12480808,true
2018,15076.86,ABM Federal Sales,64632888,false
2018,151590.92,Eclipse Business Group,828373006,true
2018,7558,Penn Tool Co,11520277,false
2018,4240,Ferbak,103041182,false
2018,3688,Heartsafe America,191418933,false
2018,2657.53,Garrett Electronics,4996112,false
2018,5655.04,Midwest Security Services,78622984,false
2018,4175.7,Setcan Corporation,243275612,true
2018,4999.62,Rita’S Tape Media,1573596,true
2018,383340,Jesuit Refugee Service USA,112281840,true
2018,22223,Boss Innovation & Marketing,93019953,false
2018,17988.75,W.W. Grainger,5103494,false
2018,8514,Capital Shredder,966648503,false
2018,52445,Quality Coast,791120124,true
2018,4340,Relx,877672683,true
2018,6237,Component Sourcing Group,785091062,false
2018,7942.37,Life Fitness,120852520,false
2018,600,The Geo Group,612706465,true
2018,9528242,Spectrum Security Services,618954465,true
2018,13852.57,Uniforms Manufacturing,98009814,true
2018,4973,Bahfed,78277396,true
2018,1600200,XRAD Tele-Services,167448955,true
2018,27380,ML Click Marketing,12480808,true
2018,22368259.49,Akima Global Services,832895085,true
2018,1361148.43,The Geo Group,612706465,true
2018,16240.7,ML Click Marketing,12480808,true
2018,11305,ML Click Marketing,12480808,true
2018,5862.35,Spartan Chemical Company,5036728,true
2018,7036580.1,CoreCivic,159734151,true
2018,14548.5,Geo-Med,166569850,false
2018,699999.93,Global Precision Systems,805596710,true
2018,7407,Young Franklin International,113785385,false
2018,6560.8,Caprice Electronics,92658152,true
2018,989703.45,M V M,38049532,true
2018,6700607.65,CoreCivic,159734151,true
2018,14990.4,Ics Jail Supplies,148161193,true
2018,8482319.4,The Geo Group,612706465,true
2018,15997.5,Varidesk,79464963,true
2018,17880,Pacific Link International,809643125,true
2018,1576372.32,Trailboss Enterprises,879740454,true
2018,3825,KPaul Properties,785308797,false
2018,6927.59,Life Fitness,120852520,false
2018,13069932.65,CoreCivic,159734151,true
2018,3900,Independent Hardware,51398089,false
2018,250000,Global Reach Petroleum,80511443,true
2018,12012,Installation Morale Welfare Recreation Fund,182066402,false
2018,4999.5,Federal Prison Industries,103385519,true
2018,13715.2,Federal Prison Industries,103385519,true
2018,9528,Federal Prison Industries,103385519,true
2018,2500,City of Colma,962843496,false
2018,4800,Comcast Cable Communications,80425729,false
