detloc,state,source,author,title,description,url
"ADLNTCA","California","Latimes.com","Gustavo Solis and David Hernandez","About a third of caravan migrants enter U.S., but 'we won’t be happy until the last one of us gets through'","Spirits were high Wednesday as more members of the Central American caravan — about one-third of the roughly 150 who made the trek — entered the United States. But as their monthlong journey to the United States comes to an end, those seeking asylum are prepa…","http://www.latimes.com/local/lanow/la-me-caravan-mexico-20180503-story.html"
"ADLNTCA","California","Latimes.com","Andrea Castillo","'Collateral arrests' by ICE amount to racial profiling, violate immigrants' rights, lawyers say","They burst into View Park Automotive in South Los Angeles carrying semi-automatic weapons and wearing vests that simply read “police.” Four men, including Juan Hernandez Cuevas, were handcuffed and taken away. Hernandez, 46, said he had no idea which law enfo…","http://www.latimes.com/local/lanow/la-me-ice-collateral-arrests-20180204-story.html"
"ADLNTCA","California","Latimes.com","Joel Rubin, Paige St. John","How a U.S. citizen was mistakenly targeted for deportation. He’s not alone","Sergio Carrillo had already been handcuffed in the Home Depot parking lot when an officer wearing a Homeland Security uniform appeared. “Homeland Security?” Carrillo asked. “What do you want with me?” Ignoring Carrillo’s demands for an explanation, the office…","http://www.latimes.com/local/lanow/la-me-ice-citizen-arrest-20171129-story.html"
"ADLNTCA","California","Latimes.com","Kate Morrissey","Migrants from Central American caravan face a long road to asylum in U.S.","A caravan of asylum seekers from Central America made it to the California border Sunday. Here’s a look at what’s ahead for them: What do we know about this caravan? At its largest, the caravan reportedly numbered about 1,200 people, mostly from Central Ameri…","http://www.latimes.com/local/lanow/la-me-caravanqa-20180429-story.html"
"ALLEGPA","Pennsylvania","Philly.com","Angela Couloumbis, Brad Bumsted, Paula Knudsen","Tighter security planned at Harrisburg Capitol after Miccarelli protection order - Philly.com","Philly.com Tighter security planned at Harrisburg Capitol after Miccarelli protection order Philly.com Back in the race: Toilet flushes got this State Rep. candidate kicked off the ballot last year. Mar 9 - 11:55 AM. assault01-a4. Camera icon BLAINE SHAHAN. S…","http://www.philly.com/philly/news/tighter-security-planned-at-harrisburg-capitol-following-miccarelli-protection-order-20180310.html"
"ALLEGPA","Pennsylvania","Philly.com","Chris Goldstein","Millennials bear the brunt of Pa. marijuana arrests - Philly","Philadelphia is evolving into a safe haven for cannabis consumers even as arrests increase across Pennsylvania. Newly-elected District Attorney Larry Krasner announced Thursday that he would drop any marijuana possession cases brought to the court by police.","http://www.philly.com/philly/business/cannabis/millennials-bear-the-brunt-of-pa-marijuana-arrests-20180216.html"
"APPSCLA","Louisiana","Theadvocate.com","Advocate staff reports","Crescent City Around the Neighborhoods for October 11, 2011","JEFFERSON PARISH SCHOOLS PLANNING: The Jefferson Parish Public School System is holding a series of community meetings seeking opinions about what should be included in its facilities master plan for new and renovated schools across the parish. The MGT Consul…","http://www.theadvocate.com/new_orleans/news/communities/crescent_city/article_71561812-a6e7-11e7-8ad2-87e039aa8029.html"
"ATLANGA","Georgia","Ajc.com",null,"ATL City Council lessens pot possession law in 15-0 vote - Atlanta Journal Constitution","Atlanta Journal Constitution ATL City Council lessens pot possession law in 15-0 vote Atlanta Journal Constitution Atlanta City Councilman Kwanza Hall was joined by state Sen. Vincent Fort at a rally Friday to push legislation that would lower fees and elimin…","http://www.ajc.com/news/local-govt--politics/atl-city-council-lessens-pot-possession-law-vote/W6fxxKbc8Ckj9KU9ur70dP/"
"ANCHOAK","Alaska","Adn.com","Mike Rivero","State admits recording jail conversations between defense lawyers and clients","For four years, a tucked-away monitoring system in a certain visitation room at the Anchorage jail recorded conversations between attorneys and their clients — defendants in criminal court – without anyone knowing. Now defense attorneys are concerned — some a…","https://www.adn.com/alaska-news/crime-courts/2018/01/15/state-admits-recording-jail-conversations-between-defense-lawyers-and-clients/"
"ANCHOAK","Alaska","Adn.com","Michelle Theriault Boots","Criminals intentionally caught to smuggle drugs into jail...","Criminals intentionally caught to smuggle drugs into jail... (Second column, 37th story, link ) Related stories: COPS: Crystal Methvin Arrested For -- Crystal Meth... Advertise here","https://www.adn.com/alaska-news/crime-courts/2018/05/30/inmates-are-getting-jailed-on-purpose-to-sell-drugs-alaska-prison-official-says/"
