award_id_piid,current_total_value_of_award,potential_total_value_of_award,recipient_name,recipient_parent_name,recipient_congressional_district,primary_place_of_performance_state_name,award_type,product_or_service_code_description,naics_description,domestic_or_foreign_entity,alaskan_native_owned_corporation_or_firm,american_indian_owned_business,indian_tribe_federally_recognized,native_hawaiian_owned_business,tribally_owned_business,woman_owned_business,women_owned_small_business,economically_disadvantaged_women_owned_small_business,joint_venture_women_owned_small_business,joint_venture_economic_disadvantaged_women_owned_small_bus,minority_owned_business,subcontinent_asian_asian_indian_american_owned_business,asian_pacific_american_owned_business,black_american_owned_business,hispanic_american_owned_business,native_american_owned_business,other_minority_owned_business,,financial_year,veteran_owned_business,service_disabled_veteran_owned_business
70CDCR18P00000108,100,100,EXECUTIVE OFFICE OF THE STATE OF NORTH CAROLINA,STATE OF NORTH CAROLINA,4,DISTRICT OF COLUMBIA,PURCHASE ORDER,OFFICE INFORMATION SYSTEM EQUIPMENT,"DATA PROCESSING, HOSTING, AND RELATED SERVICES",OTHER U.S. ENTITY (E.G. GOVERNMENT),f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,f,f
HSCETE12F00049,139.8,139.8,"SATCOM DIRECT COMMUNICATIONS, INC.",SATCOM DIRECT INC,8,TEXAS,DELIVERY ORDER,"RADIO AND TELEVISION COMMUNICATION EQUIPMENT, AIRBORNE",OTHER COMPUTER RELATED SERVICES,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,f,f
70CTD018FC0000036,141.53,141.53,FCN,FCN INC.,8,MARYLAND,BPA CALL,INFORMATION TECHNOLOGY COMPONENTS,COMPUTER SYSTEMS DESIGN SERVICES,,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,,2018,f,f
70CDCR18P00000047,156.4,156.4,PACER SERVICE CENTER,PACER SERVICE CENTER,20,TEXAS,PURCHASE ORDER,SUPPORT- ADMINISTRATIVE: INFORMATION RETRIEVAL,INTERNET PUBLISHING AND BROADCASTING AND WEB SEARCH PORTALS,OTHER U.S. ENTITY (E.G. GOVERNMENT),f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,f,f
HSCEDM17F00098,162.6,162.6,WITMER ASSOCIATES INCORPORATED,WITMER PUBLIC SAFETY GROUP  INC.,7,PENNSYLVANIA,DELIVERY ORDER,TRAINING AIDS,OTHER APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2017,f,f
HSCETE17J00398,180,180,"NET DIRECT SYSTEMS, LLC",NET DIRECT SYSTEMS  LLC,4,NORTH CAROLINA,BPA CALL,INFORMATION TECHNOLOGY SUPPORT EQUIPMENT,OTHER COMPUTER RELATED SERVICES,U.S. OWNED BUSINESS,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,,2017,f,f
HSCEMS15J00014,197.22,197.22,"ALLCLEAR ID, INC.",DEBIX ONE  INC,21,TEXAS,BPA CALL,SUPPORT- ADMINISTRATIVE: CREDIT REPORTING,INVESTIGATION SERVICES,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2015,f,f
HSCEDM15P00062,240,480,"BONNER, COUNTY OF",COUNTY OF BONNER,,IDAHO,PURCHASE ORDER,HOUSEKEEPING- GUARD,OTHER GENERAL GOVERNMENT SUPPORT,OTHER U.S. ENTITY (E.G. GOVERNMENT),f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2017,f,f
HSCEDM17P00071,353.64,1768.2,TIME WARNER CABLE INC.,TIME WARNER CABLE INC.,2,NEW YORK,PURCHASE ORDER,IT AND TELECOM- INTERNET,CABLE AND OTHER SUBSCRIPTION PROGRAMMING,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2017,f,f
HSCEMS17J00052,375.89,375.89,VISTA OUTDOOR SALES LLC,VISTA OUTDOOR SALES LLC,6,MINNESOTA,DELIVERY ORDER,"AMMUNITION, THROUGH 30MM",SMALL ARMS AMMUNITION MANUFACTURING,U.S. OWNED BUSINESS,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,,2018,f,f
