name,total_value,product,years
Amazon,11899.52,safety and rescue equipment,1
AT&T,48560,IT and telephone,1
Bellsouth,36033,IT components,1
Canon,158012.76,printing and copying,3
City of Long Beach,38264,building lease,2
City of Orlando,10700,education and training,1
Comcast,14743,IT and telephone,2
Dell,36288000.76,software,4
Deloitte,238114497.4,program management,3
Ernst & Young,12315398.58,financial management and training,2
Federal Express,17448.86,courier,2
Hyatt,17500,conference and facility space,3
Johns Hopkins,880458.22,education and training,1
Konica Minolta,883997.28,printing and copying,3
McKinsey,43867737.51,management support,2
Microsoft,7867894.51,IT and telephone,2
Motorola,37257230.05,IT and telephone,3
Northeastern University,2711012.38,program management support,1
Office Depot,10200,furniture maintenance,2
Pricewaterhousecoopers,8894231.67,cost-benefit analysis,2
Reed Elsevier,1527165.6,legal analysis,1
Ricoh,740454.85,printing and office supplies,3
Rstudio,24985,software,1
Time Warner Cable,583794.18,IT and telephone,3
University of Alabama,146006,analysis and data,2
Xerox,1382987.08,office machines and printing,3
American Correctional Association,265150,management support and training,3
Aramark,49410.68,cleaning,3
Association for the Blind and Visually Impaired,47972.53,cleaning compounds,1
Atlantic Diving Supply,4494478.67,"armour, weapons and tactical equipment",3
Avaya,3519655.13,telephone,3
Booz Allen Hamilton,149748532.8,IT and management support,4
Caribbean School,162935,education and training,2
Comfort Suites,624750,temporary lodging,2
Colt,2804210,guns,3
Corrections Corporation of America,280179617.1,housekeeping - guard,3
Federal Prison Industries,697445.94,clothing and toiletries,3
General Dynamics,497027.13,ammunition,4
GEO Group,1015594507,facilities support services and guards,3
John Wiley and Sons,71105,books and education,1
Lexmark,126475.8,printing and office equipment,3
Life Fitness,14869.96,sporting equipment,1
LinkedIn,3615,subscription,1
MVM,37334686.23,translating and interpreting,2
Northrop Grumman,795109,miscellaneous instruments,2
Palantir,168799174,software and data distribution,4
Remington,5770442.53,ammunition and guns,4
Sharp,234230.42,printing and office equipment,2
Simon Wiesenthal Center,142800,education and training,2
Sixt Rent A Car,39583.21,motor vehicles,1
Sprint,558926.4,IT and telephone network management,2
Thomson Reuters,5965934.2,facilities operation and other support,2
UPS,1405,courier,2
University of Maryland,175000,basic research,2
Vermont State Colleges,81880,education  ,3
Virginia Tech,3137015,laboratory testing,1
