duns,cleanName,vendorName,origName,url
618954465,Spectrum Security Services,"Spectrum Security Services, Inc.","SPECTRUM SECURITY SERVICES, INC.",
79518541,Range 54,"Range 54, LLC","RANGE 54, LLC",
19992424,Ingenesis,Ingenesis Inc.,INGENESIS INC.,
179570403,STG International,"Stg International, Inc.","STG INTERNATIONAL, INC.",
92430107,Continental Transportation Solutions,"Continental Transportation Solutions, Inc.","CONTINENTAL TRANSPORTATION SOLUTIONS, INC.",
158110697,Good Source Solutions,"Good Source Solutions, Inc.","GOOD SOURCE SOLUTIONS, INC.",
80526889,Nathaniel Howell,Nathaniel Howell,"HOWELL, NATHANIEL",
143530926,Creative Corrections,"Creative Corrections, L.L.C.","CREATIVE CORRECTIONS, L.L.C.",
879740454,Trailboss Enterprises,"Trailboss Enterprises, Inc.","TRAILBOSS ENTERPRISES, INC.",
159734151,CoreCivic,"CoreCivic, Inc.",CORRECTIONS CORPORATION OF AMERICA,
62722038,American Purchasing Services,"American Purchasing Services, LLC","AMERICAN PURCHASING SERVICES, LLC",
883012874,TQM,"Tqm, LLC","T.Q.M., INC.",
99903148,Central Association for the Blind,"Central Association For The Blind, Inc.","CENTRAL ASSOCIATION FOR THE BLIND, INC.",
1903723,G4S Secure Solutions USA,G4s Secure Solutions (usa) Inc.,G4S SECURE SOLUTIONS (USA) INC,
3073525,Price Modern,Price Modern LLC,PRICE MODERN LLC,
612706465,The Geo Group,The Geo Group Inc,"GEO GROUP INC., THE",
19121586,Deloitte Consulting,Deloitte Consulting LLP,DELOITTE CONSULTING LLP,
6012801,Herman Miller,"Herman Miller, Inc.","HERMAN MILLER, INC.",
71191787,The ARC of Cumberland and Perry Counties,The ARC of Cumberland and Perry Counties,"ARC OF CUMBERLAND AND PERRY COUNTIES, THE",
784141384,Premier & Companies,"Premier & Companies, Inc.",PREMIER AND COMPANIES INCORPORATED,
132048377,Capgemini Government Solutions,Capgemini Government Solutions LLC,CAPGEMINI GOVERNMENT SOLUTIONS LLC,
119079903,The Office Group,The Office Group Inc,THE OFFICE GROUP INC,
790801765,Benefit Planning,"Benefit Planning, Inc.",BENEFIT PLANNING INCORPORATED,
198705100,Hariom,Hariom Inc.,HARIOM INC.,
961704876,Classic Air Charter,Classic Air Charter Inc.,CLASSIC AIR CHARTER INC.,
609636910,Ahtna Support and Training Services,"Ahtna Support and Training Services, LLC","AHTNA SUPPORT AND TRAINING SERVICES, LLC",
877672683,Relx,Relx Inc.,RELX INC.,
167448955,XRAD Tele-Services,Xrad Tele-Services Inc,XRAD TELE-SERVICES INC,
160853300,Safe Restraints,"Safe Restraints, Inc.","SAFE RESTRAINTS, INC.",
79446686,Luxfer Magtech,"Luxfer Magtech, Inc.","LUXFER MAGTECH, INC.",
100650816,Contract Furnishings,"Contract Furnishings, Inc.","CONTRACT FURNISHINGS, INC.",
12480808,ML Click Marketing,ML Click Marketing LLC,ML CLICK MARKETING LLC,
617606645,Allied Modular Building Systems,Allied Modular Building Systems Incorporated,ALLIED MODULAR BUILDING SYSTEMS INCORPORATED,
76164771,National Business Furniture,National Business Furniture LLC,"NATIONAL BUSINESS FURNITURE, LLC",
166084541,ISS Action,"ISS Action, Inc.","ISS ACTION, INC.",
832895085,Akima Global Services,"Akima Global Services, LLC","AKIMA GLOBAL SERVICES, LLC",
31331051,Landoll Corporation,Landoll Corporation,LANDOLL CORPORATION,
1573596,Rita’S Tape Media,Rita’s Tape Media LLC,RITA'S TAPE MEDIA LLC,
64632888,ABM Federal Sales,"ABM Federal Sales, Inc.","ABM FEDERAL SALES, INC.",
828373006,Eclipse Business Group,"Eclipse Business Group, Inc.","ECLIPSE BUSINESS GROUP, INC.",
11520277,Penn Tool Co,Penn Tool Co Inc,PENN TOOL CO INC,
103041182,Ferbak,"FERBAK, INC.","FERBAK, INC.",
191418933,Heartsafe America,"Heartsafe America, Inc.","HEARTSAFE AMERICA, INC",
4996112,Garrett Electronics,"Garrett Electronics, Inc.","GARRETT ELECTRONICS, INC.",
78622984,Midwest Security Services,"Midwest Security Services, Inc","MIDWEST SECURITY SERVICES, INC",
243275612,Setcan Corporation,Setcan Corporation,SETCAN CORPORATION,
112281840,Jesuit Refugee Service USA,JESUIT REFUGEE SERVICE USA,JESUIT REFUGEE SERVICE USA,
93019953,Boss Innovation & Marketing,Boss Innovation & Marketing Inc.,BOSS INNOVATION & MARKETING,
5103494,W.W. Grainger,"W.W. Grainger, Inc.","W W GRAINGER, INC",
966648503,Capital Shredder,Capital Shredder Corp,CAPITAL SHREDDER CORP,
791120124,Quality Coast,Quality Coast Incorporated,QUALITY COAST INCORPORATED,
785091062,Component Sourcing Group,Component Sourcing Group,COMPONENT SOURCING GROUP,
120852520,Life Fitness,"Life Fitness, Inc.","LIFE FITNESS, INC.",
98009814,Uniforms Manufacturing,"Uniforms Manufacturing, Inc.","UNIFORMS MANUFACTURING, INC.",
78277396,Bahfed,Bahfed Corp.,BAHFED CORP,
5036728,Spartan Chemical Company,"Spartan Chemical Company, Inc.","SPARTAN CHEMICAL CO, INC",
166569850,Geo-Med,"Geo-Med, LLC",GEO MED LIMITED LIABILITY COMPANY,
805596710,Global Precision Systems,"Global Precision Systems, LLC","GLOBAL PRECISION SYSTEMS, LLC",
113785385,Young Franklin International,Young Franklin International Inc,"FRANKLIN YOUNG INTERNATIONAL, INCORPORATED",
92658152,Caprice Electronics,"Caprice Electronics, Inc.","CAPRICE ELECTRONICS, INC.",
38049532,M V M,"M V M, Inc.","M V M, INC.",
148161193,Ics Jail Supplies,"Ics Jail Supplies, Inc.","JCT, INC.",
79464963,Varidesk,"Varidesk, LLC","VARIDESK, LLC",
809643125,Pacific Link International,"Pacific Link International, Corp.",PACIFIC LINK INTERNATIONAL CORPORATION,
785308797,KPaul Properties,"Kpaul Properties, LLC","KPAUL PROPERTIES, LLC",
51398089,Independent Hardware,"Independent Hardware, Inc.","INDEPENDENT HARDWARE, INC.",
80511443,Global Reach Petroleum,"Global Reach Petroleum, LLC","GLOBAL REACH PETROLEUM, LLC",
182066402,Installation Morale Welfare Recreation Fund,Installation Morale Welfare Recreation Fund,INSTALLATION MORALE WELFARE RECREATION FUND,
103385519,Federal Prison Industries,"Federal Prison Industries, Inc",FEDERAL PRISON INDUSTRIES INC,
962843496,City of Colma,City of Colma,"COLMA, CITY OF",
80425729,Comcast Cable Communications,"Comcast Cable Communications, LLC","COMCAST CABLE COMMUNICATIONS, LLC",
58525536,Bob Barker Company,"Bob Barker Company, Inc.","BOB BARKER COMPANY, INC.",
1807549,Outlook-Nebraska,"Outlook-Nebraska, Inc.","OUTLOOK-NEBRASKA, INC.",
74811571,American Correctional Association,American Correctional Association,"AMERICAN CORRECTIONAL ASSOCIATION, THE",
148508286,West Publishing Corporation,West Publishing Corporation,WEST PUBLISHING CORPORATION,
942273863,Pacer Service Center,Pacer Service Center,PACER SERVICE CENTER,
827284519,Wolcott Guns,Wolcott Guns Inc,WOLCOTT GUNS INC,
937939460,Interconnect Communication Specialists,Interconnect Communication Specialists,INTERCONNECT COMMUNICATION SPECIALISTS,
126111272,The Highlands Ranch Law Enforcement Training Foundation,The Highlands Ranch Law Enforcement Training Foundation,"HIGHLANDS RANCH LAW ENFORCEMENT TRAINING FOUNDATION, THE",
144906075,Marcon International,"Marcon International, Inc.","MARCON INTERNATIONAL, INC.",
64836799,Prado Family Shooting Range,Prado Family Shooting Range,PRADO FAMILY SHOOTING RANGE,
626627459,Federal Prison Industries,"Federal Prison Industries, Inc","FEDERAL PRISON INDUSTRIES, INC",
5180273,American Firearms School,"American Firearms School, LLC","AMERICAN FIREARMS SCHOOL, LLC",
93564180,Denver Health and Hospitals Authority,Denver Health and Hospitals Authority Inc,DENVER HEALTH AND HOSPITALS AUTHORITY,
94261935,Federal Contracts,Federal Contracts Corp,FEDERAL CONTRACTS CORP,
27287429,Air Management Solutions,Air Management Solutions Inc,AIR MANAGEMENT SOLUTIONS INC,
6092860,Johnson Controls,"Johnson Controls, Inc.","JOHNSON CONTROLS, INC.",
68025683,Haynes Security,Haynes Security Corp,HAYNES SECURITY CORP,
