2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,place
57296,50641,0,38101,27635,21187,15103,18711,19491,1858,"SAN YSIDRO, CA, POE"
0,0,0,0,0,0,0,0,0,0,
8856,7326,0,52607,43296,11206,10514,8112,4111,490,"CALEXICO, CA, POE"
25147,30676,0,33623,35842,36878,10556,8529,7243,313,"HARLINGEN, TX, POE"
40641,40479,0,35470,32569,32902,29996,32473,27364,1953,"LAREDO, TX, POE"
0,0,0,0,0,0,12,3260,23439,1999,"ALEXANDRIA INTERNATIONAL AIRPORT, POE"
53369,46520,0,19033,19024,14164,9035,11499,12245,940,"NOGALES, AZ, POE"
13470,11798,0,36116,34381,24727,22908,24516,13082,755,"DEL RIO, TX, POE"
34270,20458,0,7708,13555,18688,17148,19173,13964,1656,"EL PASO, TX, POE"
17239,23081,0,28785,27502,22448,14124,10705,4059,184,"NEW ORLEANS INTERNATIONAL AIRPORT, NEW ORLEANS LA, POE"
0,0,0,36,1,18244,17072,15474,12590,1363,VALLEY INTERNATIONAL AIRPORT
8339,8886,0,6764,4094,10393,15538,12578,8922,742,"HIDALGO, TX, POE"
19290,19189,0,21899,20094,18266,11346,14624,13949,1212,"PHOENIX, AZ, POE"
10690,22362,0,33,47,9,5,16,7,1,"TUCSON, AZ, POE"
14459,11822,0,10843,9715,7320,3698,4065,4345,568,"HOUSTON, TX, POE"
13726,12384,0,8800,5800,5389,3785,4244,5592,363,"MIAMI INTERNATIONAL AIRPORT, MIAMI FLORIDA, POE"
11314,9929,0,18944,16143,13257,4858,3925,3530,433,"SAN ANTONIO, TX, POE"
9352,8050,0,17988,17465,14552,10170,9033,7380,562,"BROWNSVILLE, TX, POE"
3812,3803,0,13862,5661,5479,2709,2278,3533,284,"BROWNSVILLE-MATAMOR, TX, POE"
1043,1753,0,2855,5013,3655,5224,7981,5936,560,"SAN LUIS, AZ, POE"
8299,9216,0,7752,6942,6306,4404,3717,4114,299,"HARTSFIELD INTERNATIONAL AIRPORT, ATLANTA, GA, POE"
6629,3852,0,8123,6701,4645,3897,4771,3795,342,"PASO DEL NORTE, TX, POE"
7974,7413,0,5273,3752,2210,560,411,475,29,"NEW YORK, NY, POE"
173,1786,0,2407,4942,5127,3759,4232,1437,5,"EAGLE PASS, TX, POE"
