c2018,2018,c2017,2017,c2016,2016,c2015,2015,c2014,2014,c2013,2013,c2012,2012,c2011,2011,c2010,2010,c2009,2009
"ALEXANDRIA INTERNATIONAL AIRPORT, POE","1,999","LAREDO, TX, POE","27,364","LAREDO, TX, POE","32,473","LAREDO, TX, POE","29,996","HARLINGEN, TX, POE","36,878","CALEXICO, CA, POE","43,296","CALEXICO, CA, POE","52,607",,,"SAN YSIDRO, CA, POE","50,641","SAN YSIDRO, CA, POE","57,296"
"LAREDO, TX, POE","1,953","ALEXANDRIA INTERNATIONAL AIRPORT, POE","23,439","DEL RIO, TX, POE","24,516","DEL RIO, TX, POE","22,908","LAREDO, TX, POE","32,902","HARLINGEN, TX, POE","35,842","SAN YSIDRO, CA, POE","38,101",,,"NOGALES, AZ, POE","46,520","NOGALES, AZ, POE","53,369"
"SAN YSIDRO, CA, POE","1,858","SAN YSIDRO, CA, POE","19,491","EL PASO, TX, POE","19,173","EL PASO, TX, POE","17,148","DEL RIO, TX, POE","24,727","DEL RIO, TX, POE","34,381","DEL RIO, TX, POE","36,116",,,"LAREDO, TX, POE","40,479","LAREDO, TX, POE","40,641"
"EL PASO, TX, POE","1,656","EL PASO, TX, POE","13,964","SAN YSIDRO, CA, POE","18,711",VALLEY INTERNATIONAL AIRPORT,"17,072","NEW ORLEANS INTERNATIONAL AIRPORT, NEW ORLEANS LA, POE","22,448","LAREDO, TX, POE","32,569","LAREDO, TX, POE","35,470",,,"HARLINGEN, TX, POE","30,676","EL PASO, TX, POE","34,270"
VALLEY INTERNATIONAL AIRPORT,"1,363","PHOENIX, AZ, POE","13,949",VALLEY INTERNATIONAL AIRPORT,"15,474","HIDALGO, TX, POE","15,538","SAN YSIDRO, CA, POE","21,187","SAN YSIDRO, CA, POE","27,635","HARLINGEN, TX, POE","33,623",,,"NEW ORLEANS INTERNATIONAL AIRPORT, NEW ORLEANS LA, POE","23,081","HARLINGEN, TX, POE","25,147"
"PHOENIX, AZ, POE","1,212","DEL RIO, TX, POE","13,082","PHOENIX, AZ, POE","14,624","SAN YSIDRO, CA, POE","15,103","EL PASO, TX, POE","18,688","NEW ORLEANS INTERNATIONAL AIRPORT, NEW ORLEANS LA, POE","27,502","NEW ORLEANS INTERNATIONAL AIRPORT, NEW ORLEANS LA, POE","28,785",,,"TUCSON, AZ, POE","22,362","PHOENIX, AZ, POE","19,290"
"NOGALES, AZ, POE",940,VALLEY INTERNATIONAL AIRPORT,"12,590","HIDALGO, TX, POE","12,578","NEW ORLEANS INTERNATIONAL AIRPORT, NEW ORLEANS LA, POE","14,124","PHOENIX, AZ, POE","18,266","PHOENIX, AZ, POE","20,094","PHOENIX, AZ, POE","21,899",,,"EL PASO, TX, POE","20,458","NEW ORLEANS INTERNATIONAL AIRPORT, NEW ORLEANS LA, POE","17,239"
"DEL RIO, TX, POE",755,"NOGALES, AZ, POE","12,245","NOGALES, AZ, POE","11,499","PHOENIX, AZ, POE","11,346",VALLEY INTERNATIONAL AIRPORT,"18,244","NOGALES, AZ, POE","19,024","NOGALES, AZ, POE","19,033",,,"PHOENIX, AZ, POE","19,189","HOUSTON, TX, POE","14,459"
"HIDALGO, TX, POE",742,"HIDALGO, TX, POE","8,922","NEW ORLEANS INTERNATIONAL AIRPORT, NEW ORLEANS LA, POE","10,705","HARLINGEN, TX, POE","10,556","BROWNSVILLE, TX, POE","14,552","BROWNSVILLE, TX, POE","17,465","SAN ANTONIO, TX, POE","18,944",,,"MIAMI INTERNATIONAL AIRPORT, MIAMI FLORIDA, POE","12,384","MIAMI INTERNATIONAL AIRPORT, MIAMI FLORIDA, POE","13,726"
"HOUSTON, TX, POE",568,"BROWNSVILLE, TX, POE","7,380","BROWNSVILLE, TX, POE","9,033","CALEXICO, CA, POE","10,514","NOGALES, AZ, POE","14,164","SAN ANTONIO, TX, POE","16,143","BROWNSVILLE, TX, POE","17,988",,,"HOUSTON, TX, POE","11,822","DEL RIO, TX, POE","13,470"
"BROWNSVILLE, TX, POE",562,"HARLINGEN, TX, POE","7,243","HARLINGEN, TX, POE","8,529","BROWNSVILLE, TX, POE","10,170","SAN ANTONIO, TX, POE","13,257","EL PASO, TX, POE","13,555","BROWNSVILLE-MATAMOR, TX, POE","13,862",,,"DEL RIO, TX, POE","11,798","SAN ANTONIO, TX, POE","11,314"
"SAN LUIS, AZ, POE",560,"SAN LUIS, AZ, POE","5,936","CALEXICO, CA, POE","8,112","NOGALES, AZ, POE","9,035","CALEXICO, CA, POE","11,206","HOUSTON, TX, POE","9,715","HOUSTON, TX, POE","10,843",,,"SAN ANTONIO, TX, POE","9,929","TUCSON, AZ, POE","10,690"
"CALEXICO, CA, POE",490,"MIAMI INTERNATIONAL AIRPORT, MIAMI FLORIDA, POE","5,592","SAN LUIS, AZ, POE","7,981","SAN LUIS, AZ, POE","5,224","HIDALGO, TX, POE","10,393","HARTSFIELD INTERNATIONAL AIRPORT, ATLANTA, GA, POE","6,942","MIAMI INTERNATIONAL AIRPORT, MIAMI FLORIDA, POE","8,800",,,"HARTSFIELD INTERNATIONAL AIRPORT, ATLANTA, GA, POE","9,216","BROWNSVILLE, TX, POE","9,352"
"SAN ANTONIO, TX, POE",433,"HOUSTON, TX, POE","4,345","PASO DEL NORTE, TX, POE","4,771","SAN ANTONIO, TX, POE","4,858","HOUSTON, TX, POE","7,320","PASO DEL NORTE, TX, POE","6,701","PASO DEL NORTE, TX, POE","8,123",,,"HIDALGO, TX, POE","8,886","CALEXICO, CA, POE","8,856"
