Denaturalization Individuals - Sheet1
Date,National Origin,Sex
7/12/18,unknown,F
7/3/18,Indian,M
5/8/18,Peruvian,F
5/8/18,Argentinean,M
5/7/18,Indian,M
4/24/18,Mauritanian,M
4/17/2018,Somali,F
4/17/2018,Nigerian,M
4/10/18,Armenian,F
4/4/18,Bosnian,M
4/4/18,Bosnian,M
3/19/18,Somali,M
3/19/18,Somali,M
3/2/18,Haitian,F
2/27/18,Somali,M
2/22/18,Mexican,M
2/22/18,Mexican,M
2/22/18,Guyanese,M
2/22/18,Colombian,M
2/22/18,Filipino,M
2/21/18,unknown,M
2/14/18,Bangladeshi?,M
2/7/18,Sudanese,M
2/5/18,unknown,M
1/18/18,Bosnian,M
1/5/18,Indian (Sikh),M
12/11/17,Francophone West African,M
11/21/17,Mexican,M
11/21/17,Mexican,M
11/21/17,Mexican,M
11/21/17,Colombian,M
10/16/17,Chinese,M
10/10/17,El Salvadoran,M
9/26/17,Bangladeshi,F
9/19/17,Pakistani,M
9/19/17,Pakistani,M
8/30/17,Haitian,F
7/13/17,Yemeni,M
4/7/17,Mexican,F
3/14/17,Ghanaian?,M
3/1/17,unknown,un
2/22/17,unknown,un
11/17/16,unknown,M
11/17/16,Nigerian??,F
11/15/16,unknown,M
10/25/16,unknown,M
10/24/16,,
8/22/16,,
7/22/16,,
6/10/16,Bosnian ,M
6/10/16,Bosnian ,F
3/28/16,,M
3/18/16,,F
3/3/16,,M
2/26/16,Mexican,M
2/11/16,Nigerian,M
1/19/16,Bosnian,M
1/8/16,Chinese,F
,,
,,
,,
,,
,,
,,
,,
,,
