lat,lon,detloc,name,city,state
37.388942,-120.57452,BOPATW,ATWATER US PENITENTIARY,ATWATER,CA
60.583659,-151.30003,AKWILCC,WILDWOOD STATE CORRECTIONAL CENTER,KENAI,AK
40.734241,-77.313578,YORKCME,YORK COUNTY JAIL,ALFRED,ME
40.2677,40.2677,MONMONJ,MONMOUTH COUNTY CORRECTIONAL INSTITUTION,FREEHOLD,NJ
43.626753,-88.738135,WIDODGE,"DODGE CORR INSTITUTE, WAU",WAUPUN,WI
45.174081,-93.876888,WRIGHMN,WRIGHT COUNTY,BUFFALO,MN
44.248742,-114.500931,ONEIDID,ONEIDA COUNTY JAIL,MALAD,ID
35.27845,-116.055014,CACFBAK,BAKER CALIFORNIA CORRECTIONAL FACILITY (CCF),BAKER,CA
42.48526,-71.211469,BOSHOLD,BOSTON HOLD ROOM,BURLINGTON,MA
40.660206,-74.003867,BOPBRO,BROOKLYN MDC,BROOKLYN,NY
33.238976,-102.835787,DICKETX,DICKENS COUNTY DETENTION,SPUR,TX
42.033012,-72.498933,CTOSBCI,OSBORN CORRECTIONAL INSTITUTE,SOMERS,CT
40.729607,-73.555117,NASSANY,NASSAU COUNTY CORRECTIONAL CENTER,EAST MEADOW,NY
40.970376,-72.70984,SUFFONY,SUFFOLK COUNTY,RIVERHEAD,NY
26.383236,-98.819217,STARRTX,STARR COUNTY JAIL,RIO GRANDE CITY,TX
35.264055,-111.490153,NAVSOAZ,NAVAJO COUNTY SHERIFF,HOLBROOK,AZ
39.058375,-94.900653,CCALEKS,"CORRECTIONAL CORPORATION OF AMERICA (JEFFERSON, OK",LEAVENWORTH,KS
39.099757,-76.845002,BAYAMPR,BAYAMON HOSPITAL,BAYAMON,PR
39.548359,-107.333515,GSCHOLD,GLENWOOD SPRINGS HOLDROOM,GLENWOOD SPRINGS,CO
35.321415,-106.569051,SANDONM,SANDOVAL COUNTY DETENTION CENTER,BERNALILLO,NM
32.755614,-97.336014,TARRATX,TARRANT COUNTY JAIL,FT. WORTH,TX
29.384475,-95.002913,BOWCOTX,BOWIE COUNTY JAIL,TEXARKANA,TX
44.016828,-107.95576,WASHAWY,WASHAKIE COUNTY JAIL,WORLAND,WY
39.572766,-76.985991,CARROMD,CARROLL COUNTY DETENTION CENTER,WESTMINSTER,MD
33.431967,-94.043103,TEXARAR,TEXARKANA ARKANSAS POLICE DEPARTMENT,TEXARKANA,AR
