"fulladdr","DETLOC","Name","Address","City","County","State","Zip","Circuit","AOR","Docket","Type","Type.Detailed","ICE.Funded","Male.Female","Levels.A.B.C.D","Capacity","Current.FY.Utilization","Population.Count","Date.of.Last.Use","Date.of.First.Use","FY18.Max.Population.Count","FY18.ADP","FY17.ADP","FY16.ADP","FY15.ADP","FY14.ADP","FY13.ADP","FY12.ADP","FY11.ADP","FY10.ADP","FY09.ADP","X2016.11.01","X2016.12.01","X2017.01.01","X2017.02.01","X2017.03.01","X2017.04.01","X2017.05.01","X2017.06.01","X2017.07.01","X2017.08.01","X2017.09.01","X2017.10.01","X2017.11.01","FY18.ALOS","FY17.ALOS","FY16.ALOS","FY15.ALOS","FY18.Facility.Bookins","FY17.Facility.Bookins","FY16.Facility.Bookins","FY15.Facility.Bookins","FY18.Initial.Bookins","FY17.Initial.Bookins","FY16.Initial.Bookins","FY15.Initial.Bookins","FY18.Initial.Bookin.ADP","FY17.Initial.Bookin.ADP","FY16.Initial.Bookin.ADP","FY15.Initial.Bookin.ADP","FY18.Non.Criminal","FY18.Criminal","FY17.Non.Criminal","FY17.Criminal","FY16.Non.Criminal","FY16.Criminal","FY15.Non.Criminal","FY15.Criminal","Level.A","Level.B","Level.C","Level.D","Male.Crim","Male.Non.Crim","Female.Crim","Female.Non.Crim","ICE.Threat.Level.1","ICE.Threat.Level.2","ICE.Threat.Level.3","No.ICE.Threat.Level","Mandatory","Non.Mandatory","Medical.Provider.Onsite.","Provider.Type","Facility.Operator","Facility.Owner","Best.Known.Contract.Initiation.Date","Best.Known.Contract.Expiration.Date","Guaranteed.Minimum","Per.Diem.Rate.Detailed","ICE.Telephone.Services","Authorization.Status","Authorizing.Authority","Over.Under.72","Contractually.Obligated.Inspection.Standard","PREA.Standard.2.11.Status","Current.Inspection.Frequency","Last.Inspection.Type","Last.Inspection.Standard","Last.Inspection.Pre.Occ.","Last.Inspection.Rating...Final","Last.Inspection.Rating...Recommended","Last.Inspection.Date","Second.to.Last.Inspection.Type","Second.to.Last.Inspection.Standard","Second.to.Last.Inspection.Pre.Occ.","Second.to.Last.Rating","Second.to.Last.Inspection.Date","Next.Inspection.Date","Next.Inspection.Standard","Next.Inspection.Type","Next.Insp.Pre.Occ.","CY17.Rating","CY16.Rating","CY15.RATING","CY14.RATING","CY13.RATING","CY12.RATING","CY11.RATING","CY10.RATING","EMDD.Notes","EMDD.USE","ACA","NCCHC","JCHCO","DSM.Assigned.","DSM.Assignment.Type","FY18.Calendar.Days.in.Use","FY18.Possible.Days","FY18...of.Days.in.Use","FY18.Total.Mandays","FY17.Calendar.Days.in.Use","FY17...of.Days.in.Use","FY17.Total.Mandays","FY17.Max.Pop.Count","street","zip","city","state","lat","lon","score","prenum","number","precision","street1","street2"
"#1 FEDERAL WAY, PO BOS 019000 ATWATER CA 95301","BOPATW","ATWATER US PENITENTIARY","#1 FEDERAL WAY, PO BOS 019000","ATWATER","MERCED","CA","95301","9","SFR","SFR","BOP","BOP","No","Female/Male","A, B, C, D","AS NEEDED","","0","22.03.2005","02.04.2002","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","BOP","","","","","Not ICE Funded","","NOT INSPECTED","BOP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Federal Way","95301","Atwater","CA",37.388942,-120.57452,1,"","1","range",NA,NA
"#10 CHUGACH AVENUE KENAI AK 99611","AKWILCC","WILDWOOD STATE CORRECTIONAL CENTER","#10 CHUGACH AVENUE","KENAI","KENAI PENINSULA","AK","99611","9","SEA","ANC","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","04.08.2014","31.01.1994","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY (CORRECTIONS)","","","","","$134.90","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Chugach Ave","99611","Kenai","AK",60.583659,-151.30003,0.927,"","10","range",NA,NA
"1 LAYMAN WAY ALFRED ME 4002","YORKCME","YORK COUNTY JAIL","1 LAYMAN WAY","ALFRED","YORK","ME","4002","1","BOS","VRK","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","31.05.2011","26.12.1997","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","2","0","3","0","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","State Rte 4002","17841","Alfarata","PA",40.734241,-77.313578,0.418,"","2","street",NA,NA
"1 SHERIFF OFFICE DRIVE MACCLENNY FL 32063","BAKERFL","BAKER COUNTY SHERIFF'S OFFICE","1 SHERIFF OFFICE DRIVE","MACCLENNY","BAKER","FL","32063","11","MIA","KRO","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","288","04.11.2017","07.06.2000","292","278","272","188","168","228","210","247","251","167","3","281","270","255","270","277","269","266","269","276","281","282","277","285","67","49","53","59","471","1949","1304","990","141","739","436","466","141","139","91","96","66","213","48","224","5","183","7","161","26","78","95","80","190","60","23","6","119","53","41","66","167","112","YES","MID-LEVEL PROVIDER - ARNP","COUNTY","COUNTY","17.08.2009","","","$84.72","Pro-bono Platform (Talton)","AUTHORIZED","DMCP","Over 72","NDS","Standard 2.11","Annual","Regular","NDS","No","Acceptable","Acceptable","20.04.2017","Regular","NDS","No","Acceptable","14.04.2016","","NDS","Regular","No","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","Superior","","No","NO","NO","NO","No","NONE","35","400","9.00%","111280","372","102.00%","99327","297",NA,"32063","Macclenny","FL",30.28218,-82.12206,0.607,NA,NA,"zip",NA,NA
"1 SHERIFFS PLAZA SPRINGFIELD IL 62701","SANJAIL","SANGAMON COUNTY JAIL","1 SHERIFFS PLAZA","SPRINGFIELD","SANGAMON","IL","62701","7","CHI","CHI","USMS IGA","USMS IGA","Yes","Male","A, B, C, D","10","1.00%","0","17.10.2017","13.04.1989","1","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","3","2","3","3","22","11","27","3","22","11","27","2","4","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","COUNTY","COUNTY (SHERIFF)","COUNTY","11.08.1986","","","$53.50","","AUTHORIZED","DMCP","Under 72","Local Standards","","Annual","ORSA","NDS","No","Acceptable","","05.09.2017","ORSA","NDS","No","Acceptable","21.06.2016","","NDS","ORSA","No","Acceptable","Acceptable","Acceptable","Acceptable","Acceptable","","Acceptable","Superior","","Yes","NO","NO","NO","No","NONE","3","400","1.00%","34","53","15.00%","59","2",NA,"62701","Springfield","IL",39.800698,-89.648801,0.614,NA,NA,"zip",NA,NA
"1 WATERWORKS ROAD FREEHOLD NJ 7728","MONMONJ","MONMOUTH COUNTY CORRECTIONAL INSTITUTION","1 WATERWORKS ROAD","FREEHOLD","MONMOUTH","NJ","7728","3","NYC","VRK","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","17.01.2014","09.08.1989","0","0","0","0","0","0","125","280","264","243","150","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","1","0","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","YES","COUNTY/CORRECT CARE SOLUTIONS","COUNTY (SHERIFF)","COUNTY","30.05.2007","","","$105.00","Pro-bono Platform (Talton)","NOT INSPECTED","DMCP","Over 72","","","N/A","Regular","NDS","No","Acceptable","Acceptable","14.02.2013","Regular","NDS","No","Acceptable","16.02.2012","","N/A","N/A","No","","","","","Acceptable","Acceptable","Acceptable","Superior","","No","YES","YES","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Waterworks Rd","07728","Freehold","NJ",40.268792,-74.285791,0.473,"","3","street",NA,NA
"1 WEST LINCOLN STREET WAUPUN WI 53963","WIDODGE","DODGE CORR INSTITUTE, WAU","1 WEST LINCOLN STREET","WAUPUN","DODGE","WI","53963","7","CHI","CHI","IGSA","IGSA","Yes","Male","A, B, C, D","AS NEEDED","","0","15.11.2015","18.05.2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","2","1","0","0","2","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","W Lincoln St","53963","East Waupun","WI",43.626753,-88.738135,0.94,"","1","range",NA,NA
"10 2ND ST NORTHWEST BUFFALO MN 55313","WRIGHMN","WRIGHT COUNTY","10 2ND ST NORTHWEST","BUFFALO","WRIGHT","MN","55313","8","SPM","SPM","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","28.07.2002","28.12.1991","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","2nd St NW","55313","Buffalo","MN",45.174081,-93.876888,0.872,"","10","range",NA,NA
"10 COURT STREET MALAD ID 83252","ONEIDID","ONEIDA COUNTY JAIL","10 COURT STREET","MALAD","ONEIDA","ID","83252","9","SLC","HEL","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","08.02.2004","06.02.2004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","COUNTY","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Saturday Mountain Rd","83227",NA,NA,44.248742,-114.500931,0.392,"","100","street",NA,NA
"10 LAKEVIEW DRIVE BAKER CA 92309","CACFBAK","BAKER CALIFORNIA CORRECTIONAL FACILITY (CCF)","10 LAKEVIEW DRIVE","BAKER","BAKER","CA","92309","9","LOS","SND","IGSA","IGSA","Yes","Female/Male","A, B, C, D","AS NEEDED","","0","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","NOT INSPECTED","DMCP","","","","N/A","N/A","","No","","","","N/A","","No","","","","N/A","N/A","No","","","","","","","","","","No","NO","NO","NO","No","","0","400","0.00%","0","0","0.00%","0","0","Lakeview Rd","92309","Baker","CA",35.27845,-116.055014,0.9,"","10","range",NA,NA
