Latitude,Longitude,Name,City,State,Country,Address,Phone,Email,Twitter,Website,
33.466172,-112.071344,The Florence Immigrant & Refugee Rights Project (FIRRP),Phoenix,Arizona,United States,"202 E McDowell Rd # 250, Phoenix, AZ 85004",(520) 868-0191,firrp@firrp.org,https://twitter.com/FlorenceProject,https://firrp.org/,
,,ABA Immigration Justice Project of San Diego,San Diego,California,United States,,(619) 255-8813,harper.otawka@abaijp.org,,https://www.americanbar.org/groups/public_services/immigration/projects_initiatives/immigration_justice_project_ijp_of_san_diego.html,
41.879201,-87.632432,National Immigrant Justice Center,Chicago,Illinois,United States,"208 S. LaSalle St., Suite 1300, Chicago, IL 60604",(312) 660-1370; (312) 660-1317 (referrals),nijcfip@heartlandalliance.org,https://twitter.com/nijc,http://www.immigrantjustice.org/,
,,Capital Area Immigrants’ Rights Coalition,,Maryland,United States,,202-331-3320; extension 7027 (detained adults); 202-870-5843 (detained kids),adults@caircoalition.org; children@caircoalition.org,https://twitter.com/CAIRCoalition,https://www.caircoalition.org/,
40.526897,-74.387326,Legal Services of New Jersey,Edison,New Jersey,United States,"P.O. Box 1357, Edison, NJ 08818-1357",(732) 572-9100,,https://twitter.com/lsnj,https://www.lsnj.org/,
39.961283,-76.726427,Pennsylvania Immigration Resource Center,York,Pennsylvania,United States,"P.O. Box 20339, York PA, 17402",717-600-8099,,,http://www.pirclaw.org/,
40.712764,-74.008447,Immigrant Connection Project,New York,New York,United States,"233 Broadway, 2nd Floor, New York, NY 10279",(212) 334-1300,contactvera@vera.org,https://twitter.com/verainstitute,https://www.vera.org/projects/immigrant-connection-project,
29.770149,-95.370172,YMCA of Greater Houston,Houston,Texas,United States,"P.O. Box 3007, Houston, Texas, 77253",(713)-659-5566,,https://twitter.com/ymcahouston,https://www.ymcahouston.org/,
34.050327,-118.272548,Esperanza Immigrant Right Project,Los Angeles,California,United States,"1530 James M Wood Blvd, Los Angeles, California, 90015",(213) 251-3505,,https://twitter.com/esperanzaccla,https://www.esperanza-la.org/,
40.338261,-75.926428,ALDEA The Project's People Justice,Reading,Pennsylvania,United States,"532 Walnut Street, Reading, PA 19601",(484) 926-2014,Aldeapjc@gmail.com,,https://aldeapjc.org/,
30.229527,-97.699944,Texas Civil Rights Project,Austin,Texas,United States,"1405 Montopolis Drive, Austin, Texas 78741",(512) 474-5073,info@texascivilrightsproject.org,https://twitter.com/TXCivilRights,https://texascivilrightsproject.org/,
32.710913,-117.143282,Border Angels,San Diego,California,United States,"2258 Island Avenue, San Diego, CA 92102",(619) 269-7865,info@borderangels.org,https://twitter.com/border_angels,https://www.borderangels.org/,
29.43816,-98.503058,RAICES,San Antonio,Texas,United States,"1305 N. Flores Street, San Antonio, TX 78212",(210) 222-0964,hannah.zimmerman@raicestexas.org,https://twitter.com/RAICESTEXAS,https://www.raicestexas.org/,
30.228468,-97.745447,RAICES,Austin,Texas,United States,"2800 IH-35 South, Suite 215, Austin, TX 78704",(512) 994-2199,aminnaar@raicestexas.org,https://twitter.com/RAICESTEXAS,https://www.raicestexas.org/,
27.793437,-97.402124,RAICES,Corpus Christi,Texas,United States,"403 Waco St., Corpus Christi, TX 78401",(361) 693-5838,diana.tafur@raicestexas.org,https://twitter.com/RAICESTEXAS,https://www.raicestexas.org/,
29.765877,-95.377633,United We Dream,Houston,Texas,United States,"1900 Kane St, Houston, TX 77007",(713) 863-1422,,https://twitter.com/unitedwedream,https://unitedwedream.org/,
40.702303,-74.010526,ACLU,New York,New York,United States,"125 Broad Street, 18th Floor, New York NY 10004",(212) 549-2500,,https://twitter.com/ACLU,https://www.aclu.org/,
29.742339,-95.369404,ACLU Texas,Houston,Texas,United States,"1153, 1500 McGowen St, Houston, TX 77004",(713) 942-8146,acluinfo@aclutx.org,https://twitter.com/ACLUTx,https://www.aclutx.org/,
