name,total_value,product,years,es
Amazon,11899.52,rescue equipment,1,equipo de rescate
AT&T,48560,IT & telephone,1,informática y telefonía
Bellsouth,36033,IT components,1,componentes informática
Canon,158012.76,printing & copying,3,impresión y fotocopiado
City of Long Beach,38264,building lease,2,immobiliaria
City of Orlando,10700,education & training,1,educación y entrenamiento
Comcast,14743,IT & telephone,2,informática y telefonía
Dell,36288000.76,software,4,software
Deloitte,238114497.4,management consulting,3,consulta gerencial
Ernst & Young,12315398.58,financial management & training,2,gerencia fiscal y entrenamiento
Federal Express,17448.86,courier,2,correo
Hyatt,17500,conference & facility space,3,espacio de conferencias
Johns Hopkins,880458.22,education & training,1,educación y entrenamiento
Konica Minolta,883997.28,photocopying & printing,3,impresión y fotocopiado
McKinsey,43867737.51,management consulting,2,consulta gerencial
Microsoft,7867894.51,IT support,2,apoyo informático
Motorola,37257230.05,IT support,3,apoyo informático
Northeastern University,2711012.38,research,1,investigación
Office Depot,10200,furniture assembly,2,armado de muebles
PricewaterhouseCoopers,8894231.67,cost-benefit analysis,2,análisis de costo-beneficio
Reed Elsevier,1527165.6,periodicals,1,revistas académicas
Ricoh,740454.85,photocopying,3,fotocopiado
RStudio,24985,software,1,software
Time Warner Cable,583794.18,IT & telephone,3,informática y telefonía
University of Alabama,146006,data analysis,2,análisis de datos
Xerox,1382987.08,photocopying & printing,3,impresión y fotocopiado
American Correctional Association,265150,accreditation support,3,apoyo credencial
Aramark,49410.68,uniforms & laundry,3,uniformes y lavado
Association for the Blind and Visually Impaired,47972.53,cleaning compounds,1,productos de limpieza
Atlantic Diving Supply,4494478.67,armor & tactical equipment,3,armadura y equipo táctico
Avaya,3519655.13,telephone,3,telefonía
Booz Allen Hamilton,149748532.8,management consulting & IT,4,consulta gerencial y informática
Caribbean School,162935,education & training,2,educación y entrenamiento
Comfort Suites,624750,temporary lodging,2,alberge temporario
Colt,2804210,guns,3,armas
CCA,280179617.1,detention services,3,servicios de detención
Federal Prison Industries,697445.94,clothing & toiletries,3,ropa y productos higienicos
General Dynamics,497027.13,ammunition,4,amunición
GEO Group,1015594507,detention services,3,servicios de detención
John Wiley and Sons,71105,books,1,libros
Lexmark,126475.8,photocopying & printing,3,impresión y fotocopiado
Life Fitness,14869.96,exercise equipment,1,equipo de ejercisio
LinkedIn,3615,subscription,1,subscripción
MVM,37334686.23,guards,2,guardias
Northrop Grumman,795109,surveillance equipment,2,equipo de vigilancia
Palantir,168799174,software,4,software
Remington,5770442.53,ammunition & guns,4,armas y amunición
Sharp,234230.42,photocopying & printing,2,impresión y fotocopiado
Simon Wiesenthal Center,142800,professional development,2,desarrollo profesional
Sixt Rent A Car,39583.21,motor vehicles,1,automobiles
Sprint,558926.4,IT & telephone,2,informática y telefonía
Thomson Reuters,5965934.2,databases,2,bases de datos
UPS,1405,courier,2,correo
University of Maryland,175000,research,2,investigación
Vermont State Colleges,81880,education,3,educación
Virginia Tech,3137015,laboratory testing,1,pruebas de laboratorio
